ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
159870,SZSE,ETF,化工ETF鹏华,159870,Penghua CSI Chemicals Sub-Industry ETF,SZSE,fund,etf,CNE100004H24,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159871,SZSE,ETF,有色ETF银华,159871,Yinhua CSI Nonferrous Metal Exchange Traded Fund,SZSE,fund,etf,CNE100004H32,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159872,SZSE,ETF,智能网联汽车ETF鹏华,159872,Penghua CSI Connected Car Index ETF,SZSE,fund,etf,CNE100004JR2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159873,SZSE,ETF,医疗设备ETF天弘,159873,Tianhong CSI healthcare equipment and services Index ETF,SZSE,fund,etf,CNE100004H40,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159875,SZSE,ETF,新能源ETF嘉实,159875,Harvest CSI New Energy ETF Units,SZSE,fund,etf,CNE100004PW9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159876,SZSE,ETF,有色ETF华宝,159876,Hwabao WP CSI Nonferrous Metal Exchange Traded Fund Units,SZSE,fund,etf,CNE100004H57,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159877,SZSE,ETF,医疗ETF南方,159877,China Southern All Share Health Care ETF,SZSE,fund,etf,CNE100004Y56,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159880,SZSE,ETF,有色ETF鹏华,159880,Penghua Guozheng Nonferrous Metal Industry Excgabge Traded Fund Units,SZSE,fund,etf,CNE100004H65,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159881,SZSE,ETF,有色金属ETF国泰,159881,Guotai CSI Nonferrous Metal Index ETF,SZSE,fund,etf,CNE100004JS0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159883,SZSE,ETF,医疗器械ETF永赢,159883,Maxwealth CSI Medical Device ETF Index Fund,SZSE,fund,etf,CNE100004HK1,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159885,SZSE,ETF,碳中和ETF鹏华,159885,Penghua CSI China Mainland Low Carbon Economy Index Exchange Traded Fund,SZSE,fund,etf,CNE100004HL9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159886,SZSE,ETF,机械ETF富国,159886,Fullgoal CSI Detailed Chemical Industry ETF Index Fund,SZSE,fund,etf,CNE100004HM7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159887,SZSE,ETF,银行ETF富国,159887,Fullgoal CSI 800 Banks Exchange Traded Fund Units,SZSE,fund,etf,CNE100004J22,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159888,SZSE,ETF,智能汽车ETF华夏,159888,ChinaAMC CSI Intelligent Vehicle Units,SZSE,fund,etf,CNE100004J30,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159889,SZSE,ETF,智能汽车ETF国泰,159889,Guotai CSI Intelligent Vehicle Index ETF,SZSE,fund,etf,CNE100004PX7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159890,SZSE,ETF,云计算ETF招商,159890,CMF CSI Cloud Computing & Big Data Index Exchange Traded Fund,SZSE,fund,etf,CNE100004H73,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159891,SZSE,ETF,医疗ETF建信,159891,CCB Principal CSI All Share Health Care Equip & Services ETF,SZSE,fund,etf,CNE100004J48,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159892,SZSE,ETF,恒生医药ETF华夏,159892,ChinaAMC Hang Seng Hong Kong-Listed Biotech Index ETF Units A,SZSE,fund,etf,CNE100004R30,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159895,SZSE,ETF,物联网ETF易方达,159895,E Fund CSI Internet of Things ETF,SZSE,fund,etf,CNE100004Y64,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159896,SZSE,ETF,物联网ETF南方,159896,China Southern CSI Internet of Things ETF,SZSE,fund,etf,CNE1000054N0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159899,SZSE,ETF,软件ETF招商,159899,CMF CSI All-Share Software Index Exchange Traded Fund Units,SZSE,fund,etf,CNE100004J71,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159925,SZSE,ETF,沪深300ETF南方,159925,China Southern CSI 300 Index ETF Units,SZSE,fund,etf,CNE100005F25,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159928,SZSE,ETF,消费ETF汇添富,159928,CSI Consumer Staples ETF,SZSE,fund,etf,CNE100005F33,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159929,SZSE,ETF,医药ETF汇添富,159929,CSI Health Care ETF,SZSE,fund,etf,CNE1000063B6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159930,SZSE,ETF,China Universal Asset Management - CSI Energy Fund,159930,CHINA UNIVERSAL ASSET MANAGEMENT,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,True,False,missing_isin
159931,SZSE,ETF,金融地产ETF汇添富,159931,CHINA UNIVERSAL ASSET MANAGEMENT,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159933,SZSE,ETF,金融地产ETF国投瑞银,159933,UBS SDIC FUND MANAGEMENT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159934,SZSE,ETF,黄金ETF易方达,159934,E FUND MANAGEMENT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159935,SZSE,ETF,中证500ETF景顺,159935,INVESCO GREAT WALL FUND MGMT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159936,SZSE,ETF,可选消费ETF广发,159936,GF FUND MANAGEMENT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159937,SZSE,ETF,黄金ETF博时,159937,Bosera Gold Exchange Traded Securities Investment Fund Units,SZSE,fund,etf,CN0009239244,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159938,SZSE,ETF,医药ETF广发,159938,GF CSI All-Share Health Care ETF,SZSE,fund,etf,CNE1000037P0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159940,SZSE,ETF,金融地产ETF广发,159940,GF CSI All-Share Financials ETF,SZSE,fund,etf,CNE1000037R6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159941,SZSE,ETF,纳指ETF广发,159941,GF Nasdaq-100 ETF,SZSE,fund,etf,CNE1000037S4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159948,SZSE,ETF,创业板ETF南方,159948,China Southern ChiNext ETF,SZSE,fund,etf,CNE1000037Y2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159949,SZSE,ETF,创业板50ETF华安,159949,Huaan ChiNext 50 ETF Units,SZSE,fund,etf,CNE1000037Z9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159952,SZSE,ETF,创业板ETF广发,159952,GF GEM ETF,SZSE,fund,etf,CNE100003811,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159954,SZSE,ETF,恒生中国企业ETF南方,159954,China Southern Hang Seng China Enterprises Index ETF Units,SZSE,fund,etf,CNE100003837,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159956,SZSE,ETF,创业板ETF建信,159956,CCB ChiNext ETF,SZSE,fund,etf,CNE100003852,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159957,SZSE,ETF,创业板ETF华夏,159957,China AMC Chinext ETF,SZSE,fund,etf,CNE100003860,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159958,SZSE,ETF,创业板ETF工银,159958,ICBCCS GEM Exchange Traded Fund Units,SZSE,fund,etf,CNE100003878,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159959,SZSE,ETF,央企ETF银华,159959,Yinhua CSI Central-SOEs' Structural Reform ETF,SZSE,fund,etf,CNE100003FY8,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
