ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
SEGP,LSE,iShares Plc,SEGP,iShares III PLC - iShares EURGovt Bond Climate UCITS ETF AccumHedged GBP,LSE,fund,etf,IE000M9FJ295,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
SETFBSE100,BSE_IN,SBI Mutual Fund - SBI - ETF BSE 100,SETFBSE100,SBI ETF BSE 100,BSE,fund,etf,INF200KA1572,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
SLJY,NYSE ARCA,Amplify ETF Trust,SLJY,Amplify SILJ Junior Silver Miners Covered Call ETF,AMEX,fund,etf,US0321084339,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMIZ,NYSE ARCA,Zacks Trust,SMIZ,Zacks Small/Mid Cap ETF,AMEX,fund,etf,US98888G2049,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMRF,NYSE ARCA,ALPS ETF Trust,SMRF,"ALPS Nautilus SMR, Nuclear & Technology ETF",AMEX,fund,etf,US00162Q3204,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMTH,NYSE ARCA,ALPS ETF Trust,SMTH,ALPS/SMITH Core Plus Bond ETF,AMEX,fund,etf,US00162Q3469,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
SPCT,NASDAQ,Liberty One Spectrum ETF,SPCT,Liberty One Spectrum ETF,NASDAQ,fund,etf,US90214Q4771,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
SPIT,NASDAQ,F/m Emerald Special Situations ETF,SPIT,F/m Emerald Special Situations ETF,NASDAQ,fund,etf,US74933W1146,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
SPRX,NASDAQ,Spear Alpha ETF,SPRX,Spear Alpha ETF,NASDAQ,fund,etf,US53656F3837,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
STBQ,NYSE ARCA,Amplify ETF Trust,STBQ,Amplify Stablecoin Technology ETF,AMEX,fund,etf,US0321083836,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
STXSWX,JSE,Satrix Swix Top 40 ETF,,,,,,,,,no_tradingview_match
SURF,TSXV,Starlight U.S. Residential Fund (Multi-Family) Investment LP,,,,,,,,,no_tradingview_match
TERP,TSX,TRU.X Exogenous Risk Pool,TERP,TRU.X Exogenous Risk Pool Series E Trust Unit,TSX,fund,etf,CA8977811006,4071518f1736a5a43dae51b47590322f,Alternative,accept
THRV,NASDAQ,Prospera Income ETF,THRV,Prospera Income ETF,NASDAQ,fund,etf,US88588B1008,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
TKNQ,NYSE ARCA,Amplify ETF Trust,TKNQ,Amplify Tokenization Technology ETF,AMEX,fund,etf,US0321083679,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
TOAK,NYSE ARCA,Manager Directed Portfolios,TOAK,Twin Oak Short Horizon Absolute Return ETF,AMEX,fund,etf,US56170L6618,4071518f1736a5a43dae51b47590322f,,name_mismatch
TOLL,BATS,Tema Monopolies and Oligopolies ETF,TOLL,Tema Durable Quality ETF,CBOE,fund,etf,US87975E1073,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TOV,NYSE ARCA,JLens 500 Jewish Advocacy U.S. ETF,TOV,JLens 500 Jewish Advocacy U.S. ETF,AMEX,fund,etf,US02072Q8463,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
TSES,NYSE ARCA,Truth Social Funds,TSES,Truth Social American Energy Security ETF,AMEX,fund,etf,US89844T4067,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSIC,NYSE ARCA,Truth Social Funds,TSIC,Truth Social American Icons ETF Amrn Icons ETF,AMEX,fund,etf,US89844T3077,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSNF,NYSE ARCA,Truth Social Funds,TSNF,Truth Social American Next Frontiers ETF,AMEX,fund,etf,US89844T2087,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSRS,NYSE ARCA,Truth Social Funds,TSRS,Truth Social American Red State REITs ETF,AMEX,fund,etf,US89844T5056,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSSD,NYSE ARCA,Truth Social Funds,TSSD,Truth Social American Security & Defense ETF,AMEX,fund,etf,US89844T1097,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSYX,NASDAQ,TSPY Lift ETF,TSYX,TSPY Lift ETF,NASDAQ,fund,etf,US26923W3714,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
UHERO,SET,United Hero ETF,UHERO,United Hero ETF,SET,fund,etf,THHERO070007,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
USAF,NASDAQ,Atlas America Fund,USAF,Atlas America Fund,NASDAQ,fund,etf,US9009344071,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
