ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
6591,TWSE,動力科技股份有限公司,6591,Sun Max Tech Limited,TWSE,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
6641,TWSE,基士德科技股份有限公司,6641,"GSD Technologies Co., Ltd.",TWSE,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
6671,TWSE,三能集團控股股份有限公司,6671,"San Neng Group Holdings Co., Ltd.",TWSE,stock,Producer Manufacturing,Miscellaneous Manufacturing,,name_mismatch
6672,TWSE,騰輝電子國際集團股份有限公司,6672,"Ventec International Group Co., Ltd.",TWSE,stock,Electronic Technology,Electronic Equipment/Instruments,,name_mismatch
6722,TWSE,輝創電子股份有限公司,6722,"Whetron Electronics Co., Ltd.",TWSE,stock,Distribution Services,Wholesale Distributors,,name_mismatch
6934,TWSE,心誠鎂行動醫電股份有限公司,6934,"HCmed Innovations Co., Ltd.",TWSE,stock,Health Technology,Biotechnology,,name_mismatch
7765,TWSE,中華資安國際股份有限公司,7765,"CHT Security Co., Ltd.",TWSE,stock,Technology Services,Information Technology Services,,name_mismatch
8010,TADAWUL,TAWUNIYA,8010,Company for Cooperative Insurance,TADAWUL,stock,Finance,Multi-Line Insurance,,name_mismatch
8100,TADAWUL,SAICO,8100,Saudi Arabian Cooperative Insurance Co.,TADAWUL,stock,Finance,Insurance Brokers/Services,,name_mismatch
8170,TADAWUL,ALETIHAD,8170,Al-Etihad Cooperative Insurance Co.,TADAWUL,stock,Finance,Specialty Insurance,,name_mismatch
8180,TADAWUL,ALSAGR INSURANCE,8180,Al Sagr Cooperative Insurance Co.,TADAWUL,stock,Finance,Multi-Line Insurance,,name_mismatch
8190,TADAWUL,UCA,8190,United Cooperative Assurance Co.,TADAWUL,stock,Finance,Multi-Line Insurance,,name_mismatch
8250,TADAWUL,GIG,8250,Gulf Insurance Group - GIG,TADAWUL,stock,Finance,Property/Casualty Insurance,,name_mismatch
8280,TADAWUL,LIVA,8280,LIVA Insurance Company,TADAWUL,stock,Finance,Insurance Brokers/Services,,name_mismatch
8300,TADAWUL,WATANIYA,8300,Wataniya Insurance Co.,TADAWUL,stock,Finance,Property/Casualty Insurance,,name_mismatch
8313,TADAWUL,RASAN,8313,Rasan Information Technology Co.,TADAWUL,stock,Technology Services,Packaged Software,,name_mismatch
8404,TWSE,百和興業股份有限公司(開曼),8404,Paiho Shih Holdings Corporation,TWSE,stock,Consumer Non-Durables,Apparel/Footwear,,name_mismatch
8429,TWSE,金麗集團控股有限公司,8429,Jinli Group Holdings Ltd.,TWSE,stock,Consumer Non-Durables,Apparel/Footwear,,name_mismatch
8443,TWSE,阿瘦實業股份有限公司,8443,"SHUI-MU International Co., Ltd.",TWSE,stock,Distribution Services,Wholesale Distributors,,name_mismatch
8466,TWSE,美吉吉國際股份有限公司,8466,"M.J. International Co., Ltd.",TWSE,stock,Producer Manufacturing,Building Products,,name_mismatch
8467,TWSE,波力環球企業股份有限公司,8467,Bonny Worldwide Ltd.,TWSE,stock,Consumer Durables,Recreational Products,,name_mismatch
8478,TWSE,東哥企業股份有限公司,8478,"Alexander Marine Co., Ltd.",TWSE,stock,Consumer Durables,Recreational Products,,name_mismatch
8482,TWSE,商億全球控股有限公司,8482,"Shane Global Holding, Inc.",TWSE,stock,Consumer Durables,Home Furnishings,,name_mismatch
8488,TWSE,吉源控股股份有限公司,8488,Jiyuan Packaging Holdings Ltd.,TWSE,stock,Process Industries,Containers/Packaging,,name_mismatch
8499,TWSE,鼎炫投資控股股份有限公司,8499,"Top Bright Holding Co., Ltd.",TWSE,stock,Producer Manufacturing,Electrical Products,,name_mismatch
9136,TWSE,巨騰國際控股有限公司,9136,Ju Teng International Holdings Ltd Units Taiwan Depositary Receipts,TWSE,dr,Electronic Technology,Computer Processing Hardware,,asset_type_mismatch
9510,TADAWUL,NBM,9510,National Building & Marketing Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
9515,TADAWUL,FESH FASH,9515,Fesh Fash Snack Food Production Co.,TADAWUL,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
9516,TADAWUL,NGDC,9516,Natural Gas Distribution Company,TADAWUL,stock,Utilities,Gas Distributors,,name_mismatch
9521,TADAWUL,INMAR,9521,INMAR Company For Real Estate Development and Investment,TADAWUL,stock,Finance,Real Estate Investment Trusts,,name_mismatch
9522,TADAWUL,ALHASOOB,9522,Alhasoob Co.,TADAWUL,stock,Distribution Services,Electronics Distributors,Industrials,accept
9523,TADAWUL,GROUP FIVE,9523,Group Five Pipe Saudi Ltd.,TADAWUL,stock,Non-Energy Minerals,Steel,,name_mismatch
9524,TADAWUL,AICTEC,9524,Advance International Company for Communication and Information Technology,TADAWUL,stock,Technology Services,Information Technology Services,,name_mismatch
9527,TADAWUL,AME,9527,AME Company for Medical Supplies,TADAWUL,stock,Distribution Services,Medical Distributors,,name_mismatch
9530,TADAWUL,TIBBIYAH,9530,Arabian International Healthcare Holding Co.,TADAWUL,stock,Health Technology,Medical Specialties,,name_mismatch
9538,TADAWUL,NASEEJ TECH,9538,Naseej for Technology Co.,TADAWUL,stock,Technology Services,Packaged Software,,name_mismatch
9540,TADAWUL,TADWEEER,9540,National Environmental Recycling Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
9541,TADAWUL,ACADEMY OF LEARNING,9541,Academy of Learning Co.,TADAWUL,stock,Technology Services,Internet Software/Services,Information Technology,accept
9542,TADAWUL,KEIR,9542,KEIR International Co.,TADAWUL,stock,Communications,Specialty Telecommunications,,name_mismatch
9544,TADAWUL,FUTURE CARE,9544,Future Care Trading Co.,TADAWUL,stock,Health Services,Medical/Nursing Services,Health Care,accept
9545,TADAWUL,ALDAWLIAH,9545,International Human Resources Company,TADAWUL,stock,Commercial Services,Personnel Services,,name_mismatch
9546,TADAWUL,NABA ALSAHA,9546,Naba Alsaha Medical Services Co.,TADAWUL,stock,Health Services,Hospital/Nursing Management,Health Care,accept
9547,TADAWUL,RAWASI,9547,Rawasi Al Bina Investment Co.,TADAWUL,stock,Communications,Specialty Telecommunications,,name_mismatch
9548,TADAWUL,APICO,9548,Arabian Plastic Industrial Co.,TADAWUL,stock,Producer Manufacturing,Miscellaneous Manufacturing,,name_mismatch
9549,TADAWUL,ALBABTAIN FOOD,9549,Abdulaziz and Mansour Ibrahim Albabtin Co.,TADAWUL,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
9550,TADAWUL,SURE,9550,Sure Global Technology Company,TADAWUL,stock,Technology Services,Packaged Software,,name_mismatch
9555,TADAWUL,LEEN ALKHAIR,9555,Leen Alkhair Trading Co,TADAWUL,stock,Distribution Services,Food Distributors,Consumer Staples,accept
9559,TADAWUL,BALADY,9559,Balady Poultry Trading Co.,TADAWUL,stock,Process Industries,Agricultural Commodities/Milling,,name_mismatch
9566,TADAWUL,LIME INDUSTRIES,9566,Saudi Lime Industries Company,TADAWUL,stock,Non-Energy Minerals,Construction Materials,Materials,accept
9567,TADAWUL,GHIDA ALSULTAN,9567,Ghida Al-Sultan Co.,TADAWUL,stock,Consumer Services,Restaurants,,name_mismatch
9568,TADAWUL,MAYAR,9568,Mayar Holding Co.,TADAWUL,stock,Producer Manufacturing,Building Products,Industrials,accept
9569,TADAWUL,ALMUNEEF,9569,Almuneef Co. for Trading Industry Agriculture & Contraracting,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
9570,TADAWUL,TAM DEVELOPMENT,9570,Tam Development Company,TADAWUL,stock,Technology Services,Information Technology Services,Information Technology,accept
9572,TADAWUL,ALRAZI,9572,Al Razi Medical Company,TADAWUL,stock,Retail Trade,Drugstore Chains,,name_mismatch
9574,TADAWUL,PRO MEDEX,9574,Professional Medical Expertise Co.,TADAWUL,stock,Distribution Services,Medical Distributors,,name_mismatch
9575,TADAWUL,MARBLE DESIGN,9575,Marble Design Company,TADAWUL,stock,Non-Energy Minerals,Construction Materials,Materials,accept
9576,TADAWUL,PAPER HOME,9576,Paper Home Company,TADAWUL,stock,Process Industries,Containers/Packaging,Materials,accept
9577,TADAWUL,DAR ALMARKABAH,9577,DAR ALMARKABAH For Renting Cars Company,TADAWUL,stock,Transportation,Other Transportation,,name_mismatch
9578,TADAWUL,ATLAS ELEVATORS,9578,Atlas Elevators General Trading and Contracting Company,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
9579,TADAWUL,IOUD,9579,Intelligent Oud Company For Trading,TADAWUL,stock,Retail Trade,Specialty Stores,,name_mismatch
9580,TADAWUL,ALRASHID INDUSTRIAL,9580,Al Rashid Industrial Co,TADAWUL,stock,Producer Manufacturing,Miscellaneous Manufacturing,,name_mismatch
9581,TADAWUL,CLEAN LIFE,9581,Clean life company,TADAWUL,stock,Commercial Services,Miscellaneous Commercial Services,,unsupported_sector
9583,TADAWUL,UNITED MINING,9583,United Mining Industries Company,TADAWUL,stock,Non-Energy Minerals,Construction Materials,Materials,accept
9584,TADAWUL,RIYAL,9584,Riyal Investment and Development Company,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
9585,TADAWUL,MULKIA,9585,Mulkia Investment Company,TADAWUL,stock,Finance,Investment Managers,,name_mismatch
9586,TADAWUL,OSOOL AND BAKHEET,9586,Osool & Bakheet Investment Company,TADAWUL,stock,Finance,Investment Managers,,name_mismatch
9587,TADAWUL,LANA,9587,Lana Medical Co.,TADAWUL,stock,Health Services,Medical/Nursing Services,,name_mismatch
9588,TADAWUL,RIYADH STEEL,9588,Riyadh Steel Company,TADAWUL,stock,Producer Manufacturing,Metal Fabrication,Industrials,accept
9589,TADAWUL,FAD,9589,Fad International Company,TADAWUL,stock,Consumer Non-Durables,Apparel/Footwear,,name_mismatch
9590,TADAWUL,ARMAH,9590,Armah Sports Company,TADAWUL,stock,Consumer Services,Other Consumer Services,,name_mismatch
9591,TADAWUL,VIEW,9591,View United Real Estate Development Company,TADAWUL,stock,Finance,Real Estate Development,,name_mismatch
9592,TADAWUL,ALMUJTAMA MEDICAL,9592,Almujtama Alraida Medical Co.,TADAWUL,stock,Health Services,Medical/Nursing Services,Health Care,accept
