isin,listing_key,ticker,exchange,is_primary
AT0000A25NJ6,XETRA::WAH,WAH,XETRA,0
AT0000A325L0,ATHEX::ACAG,ACAG,ATHEX,1
AT0000A325L0,FSX::ACQ0,ACQ0,FSX,0
AT0000A3EPA4,VSE::AMS2,AMS2,VSE,1
AT0000A3EPA4,LSE::0QWC,0QWC,LSE,0
AT0000A3FW25,VSE::4X0,4X0,VSE,1
AT0000A3FW25,XETRA::4X0,4X0,XETRA,0
AT0000A3FW25,FSX::4X0,4X0,FSX,0
AT0000A3FW25,Munich::4X0,4X0,Munich,0
AT0000A3FW25,XDUS::4X0,4X0,XDUS,0
AT0000APOST4,LSE::0NTM,0NTM,LSE,1
AT0000APOST4,XETRA::O3P,O3P,XETRA,0
AT0000APOST4,FSX::O3P,O3P,FSX,0
AT0000APOST4,Munich::O3P,O3P,Munich,0
AT0000APOST4,XDUS::O3P,O3P,XDUS,0
AT0000APOST4,XSTU::O3P,O3P,XSTU,0
AT0000APOST4,OTC::OERCF,OERCF,OTC,0
AT0000BAWAG2,VSE::BG,BG,VSE,1
AT0000BAWAG2,LSE::0RVE,0RVE,LSE,0
AT0000BAWAG2,XETRA::0B2,0B2,XETRA,0
AT0000BAWAG2,FSX::0B2,0B2,FSX,0
AT0000BAWAG2,XSTU::0B2,0B2,XSTU,0
AT0000BAWAG2,OTC::BWAGF,BWAGF,OTC,0
AT0000KTMI02,VSE::BMAG,BMAG,VSE,1
AT0000KTMI02,SIX::BMAG,BMAG,SIX,0
AT0000KTMI02,OTC::PIERF,PIERF,OTC,0
AT000ADDIKO0,VSE::ADKO,ADKO,VSE,1
AT000ADDIKO0,OTC::ADBKF,ADBKF,OTC,0
AT000ADDIKO0,FSX::ZYE1,ZYE1,FSX,0
AT000AGRANA3,VSE::AGR,AGR,VSE,1
AT000AGRANA3,FSX::AGB2,AGB2,FSX,0
AT000AGRANA3,XSTU::AGB2,AGB2,XSTU,0
AT000KAPSCH9,VSE::KTCG,KTCG,VSE,1
AT000KAPSCH9,LSE::0GTO,0GTO,LSE,0
AT000KAPSCH9,FSX::BZ6,BZ6,FSX,0
ATFREQUENT09,VSE::FQT,FQT,VSE,1
ATFREQUENT09,XETRA::FQT,FQT,XETRA,0
ATFREQUENT09,XSTU::FQT,FQT,XSTU,0
ATMARINOMED6,VSE::MARI,MARI,VSE,1
ATMARINOMED6,FSX::93Z,93Z,FSX,0
