listing_key,ticker,exchange,isin,wkn,figi,cik,lei,figi_source,cik_source,lei_source
HKEX::00028,00028,HKEX,HK0028013271,,BBG000BF0DR5,,,OpenFIGI,,
HKEX::00029,00029,HKEX,BMG2889K1678,,BBG000BDVCZ9,,,OpenFIGI,,
KRX::0002C0,0002C0,KRX,KR70002C0008,,BBG01SGZ0582,,,OpenFIGI,,
HKEX::00030,00030,HKEX,BMG0865U1009,,BBG000BFWKH5,,,OpenFIGI,,
SZSE::000301,000301,SZSE,CNE0000012K6,,BBG000GC20B0,,,OpenFIGI,,
HKEX::00031,00031,HKEX,HK0031044180,,BBG000BDVDY8,,,OpenFIGI,,
HKEX::00032,00032,HKEX,HK0032009356,,BBG000BDVS02,,,OpenFIGI,,
KRX::000320,000320,KRX,KR7000320002,,BBG000BGX736,,,OpenFIGI,,
HKEX::00033,00033,HKEX,KYG0252B1115,,BBG000TVT1W0,,,OpenFIGI,,
SZSE::000333,000333,SZSE,CNE100001QQ5,,BBG000QLWGC0,,,OpenFIGI,,
SZSE::000338,000338,SZSE,CNE1000000D4,,BBG000R7HVC4,,,OpenFIGI,,
HKEX::00034,00034,HKEX,HK0034000254,,BBG000BCQXG2,,,OpenFIGI,,
HKEX::00035,00035,HKEX,KYG3307Z1090,,BBG000BDVZC3,,,OpenFIGI,,
HKEX::00036,00036,HKEX,HK0001095345,,BBG000BDVZZ8,,,OpenFIGI,,
HKEX::00037,00037,HKEX,HK0037039283,,BBG000BDW0T1,,,OpenFIGI,,
KRX::000370,000370,KRX,KR7000370007,,BBG000BH4ZY0,,,OpenFIGI,,
HKEX::00038,00038,HKEX,CNE100000320,,BBG000BD8PT3,,,OpenFIGI,,
HKEX::00039,00039,HKEX,KYG2117W1087,,BBG000DV2904,,,OpenFIGI,,
KRX::000390,000390,KRX,KR7000390005,,BBG000BZF9P6,,,OpenFIGI,,
HKEX::00040,00040,HKEX,HK0040000298,,BBG000BDW6M5,,,OpenFIGI,,
KRX::000400,000400,KRX,KR7000400002,,,,,,,
SZSE::000400,000400,SZSE,CNE0000007F6,,,,,,,
SZSE::000401,000401,SZSE,CNE000000GX5,,BBG000P6KJG7,,,OpenFIGI,,
SZSE::000402,000402,SZSE,CNE000000KT5,,BBG000P67P87,,,OpenFIGI,,
SZSE::000403,000403,SZSE,CNE000000F14,,BBG000C07NG0,,,OpenFIGI,,
SZSE::000404,000404,SZSE,CNE000000KM0,,BBG000P6C4K4,,,OpenFIGI,,
SZSE::000407,000407,SZSE,CNE000000G88,,BBG000P6FPT5,,,OpenFIGI,,
SZSE::000408,000408,SZSE,CNE000000L08,,BBG000P69X97,,,OpenFIGI,,
SZSE::000409,000409,SZSE,CNE000000L40,,BBG000P6KFW7,,,OpenFIGI,,
HKEX::00041,00041,HKEX,BMG4069C1486,,BBG000BBTJ36,,529900V6LG3TC9XC5S67,OpenFIGI,,GLEIF
SZSE::000410,000410,SZSE,CNE0000008W9,,BBG000P6FQC1,,,OpenFIGI,,
SZSE::000411,000411,SZSE,CNE0000008D9,,BBG000P69L93,,,OpenFIGI,,
SZSE::000415,000415,SZSE,CNE0000009B1,,BBG000P6MB36,,,OpenFIGI,,
SZSE::000417,000417,SZSE,CNE000000BV0,,BBG000P69MW5,,,OpenFIGI,,
SZSE::000419,000419,SZSE,CNE000000LL0,,BBG000P65RV9,,,OpenFIGI,,
HKEX::00042,00042,HKEX,CNE1000003V0,,BBG000FDC1W3,,,OpenFIGI,,
SZSE::000420,000420,SZSE,CNE0000008F4,,BBG000P6CDH8,,,OpenFIGI,,
SZSE::000421,000421,SZSE,CNE0000003L3,,BBG000P6F0Q3,,,OpenFIGI,,
SZSE::000422,000422,SZSE,CNE0000009C9,,BBG000P69QG4,,,OpenFIGI,,
SZSE::000423,000423,SZSE,CNE0000006Y9,,BBG000P6FMV9,,,OpenFIGI,,
SZSE::000425,000425,SZSE,CNE000000FH0,,BBG000P6MD41,,,OpenFIGI,,
SZSE::000426,000426,SZSE,CNE000000D24,,BBG000P64HH8,,,OpenFIGI,,
SZSE::000428,000428,SZSE,CNE000000LM8,,BBG000P69RH1,,,OpenFIGI,,
SZSE::000429,000429,SZSE,CNE0000006Z6,,BBG000P67TJ7,,,OpenFIGI,,
KRX::000430,000430,KRX,KR7000430009,,,,,,,
SZSE::000430,000430,SZSE,CNE000000F22,,,,,,,
KOSDAQ::000440,000440,KOSDAQ,KR7000440008,,BBG000C18TF5,,,OpenFIGI,,
HKEX::00045,00045,HKEX,HK0045000319,,BBG000BDWVZ6,,,OpenFIGI,,
HKEX::00046,00046,HKEX,BMG2335C1082,,BBG000BD47H0,,,OpenFIGI,,
HKEX::00048,00048,HKEX,KYG211351500,,BBG0016M5Z81,,,OpenFIGI,,
KRX::000480,000480,KRX,KR7000480004,,BBG000BDFTD4,,,OpenFIGI,,
SZSE::000488,000488,SZSE,CNE0000015H5,,BBG000D3ZD38,,,OpenFIGI,,
KRX::000490,000490,KRX,KR7000490003,,BBG000BCRPW0,,,OpenFIGI,,
SZSE::000498,000498,SZSE,CNE0000009D7,,BBG000D3MNC0,,,OpenFIGI,,
KRX::0004G0,0004G0,KRX,KR70004G0002,,BBG01RVXFR88,,,OpenFIGI,,
KOSDAQ::0004Y0,0004Y0,KOSDAQ,KR70004Y0000,,BBG01VK7HK27,,,OpenFIGI,,
Bursa::0005,0005,Bursa,MYQ0005OO007,,BBG000BGR804,,,OpenFIGI,,
HKEX::00050,00050,HKEX,HK0050000345,,BBG000BDWPG0,,,OpenFIGI,,
KRX::000500,000500,KRX,KR7000500009,,BBG000BDRGX7,,,OpenFIGI,,
SZSE::000501,000501,SZSE,CNE000000024,,BBG000BZGFB6,,,OpenFIGI,,
SZSE::000503,000503,SZSE,CNE000000255,,BBG000BZDYR1,,,OpenFIGI,,
SZSE::000504,000504,SZSE,CNE000000263,,BBG000BZ95F2,,,OpenFIGI,,
SZSE::000505,000505,SZSE,CNE0000002X0,,BBG000BZC1X7,,,OpenFIGI,,
SZSE::000506,000506,SZSE,CNE0000004D8,,BBG000BZG1F3,,,OpenFIGI,,
SZSE::000507,000507,SZSE,CNE000000149,,BBG000BZB989,,,OpenFIGI,,
SZSE::000509,000509,SZSE,CNE0000001G7,,BBG000BZFZS5,,,OpenFIGI,,
HKEX::00051,00051,HKEX,HK0051000351,,BBG000BDWCC3,,,OpenFIGI,,
SZSE::000510,000510,SZSE,CNE000000172,,BBG000BZFYJ8,,,OpenFIGI,,
SZSE::000513,000513,SZSE,CNE0000002Y8,,BBG000BZGRC9,,,OpenFIGI,,
