listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::03938,03938,HKEX,Stock,KYG5471A1094,KYG5471A1094,core,primary_listing,HKEX::03938
HKEX::03939,03939,HKEX,Stock,KYG9430L1150,KYG9430L1150,core,primary_listing,HKEX::03939
HKEX::03958,03958,HKEX,Stock,CNE1000027F2,CNE1000027F2,core,primary_listing,HKEX::03958
HKEX::03963,03963,HKEX,Stock,KYG2119M1087,KYG2119M1087,core,primary_listing,HKEX::03963
HKEX::03968,03968,HKEX,Stock,CNE1000002M1,CNE1000002M1,core,primary_listing,HKEX::03968
HKEX::03969,03969,HKEX,Stock,CNE1000021L3,CNE1000021L3,core,primary_listing,HKEX::03969
HKEX::03978,03978,HKEX,Stock,KYG2121W1024,KYG2121W1024,core,primary_listing,HKEX::03978
HKEX::03983,03983,HKEX,Stock,CNE1000002D0,CNE1000002D0,core,primary_listing,HKEX::03983
HKEX::03986,03986,HKEX,Stock,CNE100007DJ5,CNE100007DJ5,core,primary_listing,HKEX::03986
HKEX::03988,03988,HKEX,Stock,CNE1000001Z5,CNE1000001Z5,core,primary_listing,HKEX::03988
HKEX::03989,03989,HKEX,Stock,KYG1941T1094,KYG1941T1094,core,primary_listing,HKEX::03989
HKEX::03990,03990,HKEX,Stock,KYG609201085,KYG609201085,core,primary_listing,HKEX::03990
HKEX::03991,03991,HKEX,Stock,BMG2042K1045,BMG2042K1045,core,primary_listing,HKEX::03991
HKEX::03993,03993,HKEX,Stock,CNE100000114,CNE100000114,core,primary_listing,HKEX::03993
HKEX::03996,03996,HKEX,Stock,CNE1000023C8,CNE1000023C8,core,primary_listing,HKEX::03996
HKEX::03997,03997,HKEX,Stock,KYG873111093,KYG873111093,core,primary_listing,HKEX::03997
HKEX::03998,03998,HKEX,Stock,KYG126521064,KYG126521064,core,primary_listing,HKEX::03998
HKEX::03999,03999,HKEX,Stock,KYG261441086,KYG261441086,core,primary_listing,HKEX::03999
HKEX::04332,04332,HKEX,Stock,US0311621009,US0311621009,extended,secondary_cross_listing,NASDAQ::AMGN
HKEX::04333,04333,HKEX,Stock,US17275R1023,US17275R1023,extended,secondary_cross_listing,NASDAQ::CSCO
HKEX::04335,04335,HKEX,Stock,US4581401001,US4581401001,extended,secondary_cross_listing,NASDAQ::INTC
HKEX::04336,04336,HKEX,Stock,US0382221051,US0382221051,extended,secondary_cross_listing,NASDAQ::AMAT
HKEX::04337,04337,HKEX,Stock,US8552441094,US8552441094,extended,secondary_cross_listing,NASDAQ::SBUX
HKEX::04338,04338,HKEX,Stock,US5949181045,US5949181045,extended,secondary_cross_listing,NASDAQ::MSFT
HKEX::04621,04621,HKEX,Stock,XS2397254579,XS2397254579,core,primary_listing,HKEX::04621
HKEX::06030,06030,HKEX,Stock,CNE1000016V2,CNE1000016V2,core,primary_listing,HKEX::06030
