ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,decision
EMAE3,B3,Stock,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,EMAE,EMAE,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
EMBP3,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,EMBP,,,,,,no_b3_code_match
EMBP4,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,EMBP,,,,,,no_b3_code_match
ENAC3,B3,Stock,CIA ARMAZENS GERAIS ENTREPOSTOS DO ACRE,ENAC,,,,,,no_b3_code_match
EPTR4,B3,Stock,EMPR TURISMO DE PERNAMBUCO S.A. -EMPETUR,EPTR,,,,,,no_b3_code_match
EQPA6,B3,Stock,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA,EQTL PARA,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
ESGS3,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,ESGS,,,,,,no_b3_code_match
ESGS4,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,ESGS,,,,,,no_b3_code_match
ESSD3,B3,Stock,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,ESSD,,,,,,no_b3_code_match
ESSE5,B3,Stock,ESSENCIA AGROPECUARIA S.A.,ESSE,,,,,,no_b3_code_match
ETGO3,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,ETGO,,,,,,no_b3_code_match
ETGO4,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,ETGO,,,,,,no_b3_code_match
EUFA3,B3,Stock,EUROFARMA LABORATORIOS S.A,EUFA,,,,,,no_b3_code_match
F8DF5,B3,Stock,FRIGORIFICO DIAS S/A - FRIGODIAS,F,,,,,,no_b3_code_match
FAEL6,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,FAEL,,,,,,no_b3_code_match
FAEL7,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,FAEL,,,,,,no_b3_code_match
FGRT5,B3,Stock,FRIGORIFICO REDENTOR S.A.,FGRT,,,,,,no_b3_code_match
FIGE3,B3,Stock,INVESTIMENTOS BEMGE S.A.,FIGE,INVEST BEMGE,Financial,Financial Intermediaries,Others Financial Intermediaries,Financials,accept
FIGE4,B3,Stock,INVESTIMENTOS BEMGE S.A.,FIGE,INVEST BEMGE,Financial,Financial Intermediaries,Others Financial Intermediaries,Financials,accept
FMNP3,B3,Stock,FIRMINOPOLIS TRANSMISSAO S.A.,FMNP,,,,,,no_b3_code_match
FNUV3,B3,Stock,FENAUVA-FEIRA NAC DA UVA TUR E EMPR S.A.,FNUV,,,,,,no_b3_code_match
FRNV3,B3,Stock,CIA DE NAVEG DO SAO FRANCISCO - FRANAVE,FRNV,,,,,,no_b3_code_match
FTRO3,B3,Stock,FRUTOS TROPICAIS S/A,FTRO,,,,,,no_b3_code_match
GENT3,B3,Stock,LG INFORMÁTICA S.A.,GENT,,,,,,no_b3_code_match
