financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
TOM2.AS,TOM2,.AS,AMS,TomTom N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::TOM2,TOMTOM,AMS::TOM2,AMS,1,0
UMG.AS,UMG,.AS,AMS,Universal Music Group N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_mismatch,review_name_mismatch_before_any_update,true,name_mismatch_review,blocked_name_mismatch,AMS::UMG,UMG,AMS::UMG,AMS,0,1
UNA.AS,UNA,.AS,AMS,Unilever PLC,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::UNA,UNILEVER,AMS::UNA,AMS,1,0
VPK.AS,VPK,.AS,AMS,Koninklijke Vopak N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::VPK,VOPAK,AMS::VPK,AMS,1,0
WKL.AS,WKL,.AS,AMS,Wolters Kluwer N.V.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,AMS::WKL,WOLTERS KLUWER,AMS::WKL,AMS,1,0
ABEV3.SA,ABEV3,.SA,B3,Ambev S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ABEV3,AMBEV S.A.,B3::ABEV3,B3,1,0
AMER3.SA,AMER3,.SA,B3,Americanas S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::AMER3,AMERICANAS S.A,B3::AMER3,B3,1,0
ASAI3.SA,ASAI3,.SA,B3,Sendas Distribuidora S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ASAI3,SENDAS DISTRIBUIDORA S.A.,B3::ASAI3,B3,1,0
AZUL4.SA,AZUL4,.SA,B3,Azul Brazilian Airlines,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
BBAS3.SA,BBAS3,.SA,B3,Banco do Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BBAS3,BCO BRASIL S.A.,B3::BBAS3,B3,1,0
