listing_key,ticker,exchange,name,current_etf_category,official_sector,category_update,candidate_sources,candidate_source_urls,decision,reason,verification_evidence_required,official_source_context,category_review_context,apply_gate_context
B3::NEOE3,NEOE3,B3,NEOENERGIA S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::NLFA11,NLFA11,B3,Nu Letras Financeiras Anbima Classe De Índice - Responsabilidade Limitada,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::NTNS11,NTNS11,B3,Investo Teva Tesouro Ipca+ 0 A 4 Anos Etf - Fundo De Investimento De Indice,Commodity,Commodity,Commodity,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Commodity;official_sector=Commodity;category_update=Commodity,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::ODPV3,ODPV3,B3,ODONTOPREV S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::OULG11B,OULG11B,B3,Pedra Dourada Fundo De Investimento Imobiliário - FII,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::P5RD3,P5RD3,B3,MATRIZ COMPANHIA METALURGICA PRADA,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::PACC11,PACC11,B3,Btg Pactual Ima-B 5 P2 Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::PACG11,PACG11,B3,BTG Pactual Ima-B Fundo De Indice,Fixed Income,Fixed Income,Fixed Income,b3_listed_etfs,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=b3_listed_etfs;candidate_source_urls=https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,current_etf_category=Fixed Income;official_sector=Fixed Income;category_update=Fixed Income,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::PASS5,PASS5,B3,COMPASS GAS E ENERGIA S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::PASS6,PASS6,B3,COMPASS GAS E ENERGIA S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::RIOS3,RIOS3,B3,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::SPGM11,SPGM11,B3,SPGM FDO DE INV IMOB – RESP LIM,Real Estate,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=Real Estate;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::TKNO3,TKNO3,B3,TEKNO S.A. - INDUSTRIA E COMERCIO,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::TKNO4,TKNO4,B3,TEKNO S.A. - INDUSTRIA E COMERCIO,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
B3::VRGL3,VRGL3,B3,GOL LINHAS AEREAS S.A,,,,,,skip,not_eligible_for_b3_official_etf_category_apply,official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category,candidate_sources=none;candidate_source_urls=none,current_etf_category=none;official_sector=none;category_update=none,decision=skip;reason=not_eligible_for_b3_official_etf_category_apply;verification_evidence_required=official_b3_listed_etfs_row_with_exact_listing_key_and_single_canonical_etf_category
