listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,review_batch,metadata_update_reason
OTC::MSGP,MSGP,OTC,Kenergy Scientific Inc,Medsmart Group Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000QZ3DZ3,BBG000QZ3DZ3,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::MZPS,MZPS,OTC,American Environmental Inc,Myzipsoft Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG0073F7107,BBG0073F7107,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::NATKY,NATKY,OTC,JSC National Atomic Company Kazatomprom,NAC Kazatomprom JSC GDR Reg S,Depositary Receipt,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG01958WTB5,BBG01958WTB5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::NFTM,NFTM,OTC,Buildablock Corp.,NFT Marketplace Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000R6H4M5,BBG000R6H4M5,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::NGHI,NGHI,OTC,"Galenfeha, Inc.",New Green Hemp Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG004MB7S21,BBG004MB7S21,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::NSAV,NSAV,OTC,NSAV Holding Inc,Net Savings Link Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000J407K2,BBG000J407K2,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::NWAU,NWAU,OTC,Consumer Automotive Finance Inc,NowAuto Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000Q1J686,BBG000Q1J686,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::OGGFF,OGGFF,OTC,Organic Garage Ltd,Oragin Foods Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG00ZJ05V25,BBG00ZJ05V25,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::OIGLF,OIGLF,OTC,Chariot Oil & Gas Limited,Chariot Ltd,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000LHMS48,BBG000LHMS48,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::PCGR,PCGR,OTC,Personal Care Group Inc,Pc Group Inc.,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BK2QZ4,BBG000BK2QZ4,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::PMBY,PMBY,OTC,Postd Merchant Banque,Pmb Aerospace Corp,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000BM9Y13,BBG000BM9Y13,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
OTC::PNGM,PNGM,OTC,Er Therapeutics Inc,Pengram Corporation,Common Stock,0.91,apply_twelvedata_name_identifier_supported,identifier,local_figi_match,BBG000RKJTC8,BBG000RKJTC8,batch_a_us_core,Twelve Data source adjudication apply-ready name update: OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=local_figi_match; review_batch=batch_a_us_core.
