listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
LSE::VAGU,proposed,VAGU,LSE,ETF,IE00BG47KJ78,Vanguard Global Aggregate Bond UCITS ETF USD Hedged Accumulation,VANGUARD FUNDS PLC VANGUARD GLOBAL AGGREGATE BD UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,bc44b37f6abee030e04d307c,active_official_exact_listing_isin_name
LSE::VALW,proposed,VALW,LSE,ETF,IE00BJXRT813,SPDR MSCI World Value UCITS ETF,SSGA SPDR ETFS EUROPE II PLC SS SPDR MSCI WLD VAL,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,353068bf66dbbd80d10c4e62,active_official_exact_listing_isin_name
LSE::VDTS,proposed,VDTS,LSE,ETF,IE000S0PSP47,Vanguard USD Treasury Bond UCITS ETF GBP Hedged Distribution,VANGUARD FUNDS PLC VANGUARD USD TRSRY UCITS ETF GBP H DIS,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,b5edf809792eeffe9b96c41a,active_official_exact_listing_isin_name
LSE::VGOV,proposed,VGOV,LSE,ETF,IE00B42WWV65,Vanguard U.K. Gilt UCITS ETF,VANGUARD FUNDS PLC UK GILT UCITS ETF GBP,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,63eafb6d93e7a8f743faa7a5,active_official_exact_listing_isin_name
LSE::VGPA,proposed,VGPA,LSE,ETF,IE00BGYWFN19,Vanguard USD Corporate Bond UCITS ETF GBP Hedged Accumulation,VANGUARD FUNDS PLC VANGUARD USD CORP UCITS ETF GBP H ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,b3d019439d544e145cee61e4,active_official_exact_listing_isin_name
LSE::VUAA,proposed,VUAA,LSE,ETF,IE00BFMXXD54,Vanguard S&P 500 UCITS ETF USD Accumulation,VANGUARD FUNDS PLC VANGUARD S&P 500 UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,a3ca1c30259350c1edd3f377,active_official_exact_listing_isin_name
LSE::VUAG,proposed,VUAG,LSE,ETF,IE00BFMXXD54,Vanguard S&P 500 UCITS Acc,VANGUARD FUNDS PLC VANGUARD S&P 500 UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,685564b1358e99b3618c8ce3,active_official_exact_listing_isin_name
LSE::VUSA,proposed,VUSA,LSE,ETF,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF,VANGUARD FUNDS PLC VANGUARD S&P 500 UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,2b9f572d0a708b7ff94d03ac,active_official_exact_listing_isin_name
LSE::VUSD,proposed,VUSD,LSE,ETF,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF,VANGUARD FUNDS PLC VANGUARD S&P 500 UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,257f16e9355e5f60329e6849,active_official_exact_listing_isin_name
LSE::WBIO,proposed,WBIO,LSE,ETF,IE000O8KMPM1,WisdomTree BioRevolution UCITS ETF - USD Acc GBP,WISDOMTREE ISSUER ICAV WISDOMTREE BIOREV UCITS ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,85e43cd38f3efcff1035e8b4,active_official_exact_listing_isin_name
LSE::WCAT,proposed,WCAT,LSE,Stock,GB00BMQC7357,Wildcat Petroleum Plc,WILDCAT GOLD PLC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,e0d3b0abb3473383e7dc0405,active_official_exact_listing_isin_name
LSE::WDNA,proposed,WDNA,LSE,ETF,IE000O8KMPM1,WisdomTree BioRevolution UCITS ETF - USD Acc,WISDOMTREE ISSUER ICAV WISDOMTREE BIOREV UCITS ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,fe4639a9ed26ccbc9afe6f70,active_official_exact_listing_isin_name
LSE::WELP,proposed,WELP,LSE,ETF,IE00BJQTJ848,HAN-GINS Indxx Healthcare Megatrend Equal Weight UCITS ETF - Accumulating GBP,HANETF ICAV HARBOR HEALTH CARE UCITS ETF ACC GBX,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,d5a4ac8b5aaecb9fb48c7c0d,active_official_exact_listing_isin_name
LSE::WETP,proposed,WETP,LSE,ETF,GB00BJYDH394,WISDOMTREE ISSUER X LIMITED WIS,WISDOMTREE ISSUER X LIMITED WISDOMTREE PHYSICAL ETHEREUM,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,52245d58be220fef8323e897,active_official_exact_listing_isin_name
LSE::WINC,proposed,WINC,LSE,ETF,IE000KJPDY61,iShares World Equity High Income UCITS ETF USD Inc,ISHARES III PLC ISHARES WRLD EQT H IN ACT ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,94250621400097f9dc4f23cf,active_official_exact_listing_isin_name
LSE::WMVG,proposed,WMVG,LSE,ETF,IE00BGPP8L80,iShares Edge MSCI World Minimum Volatility UCITS ETF GBP Hedged (Acc),ISHARES VI PLC ISH EDG MSCI WRD MIN V GBP,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,cf6a5db7cad76c9b34f05930,active_official_exact_listing_isin_name
LSE::WOGH,proposed,WOGH,LSE,ETF,IE000ZYE17Z0,iShares World Equity Enhanced Active UCITS ETF GBP Hedged (Acc),ISHARES III PLC ISHRS WRLD EQTY ENH ACTV UCITS ETF GBP A,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,5e99c0b9a57ef6eb5cce4808,active_official_exact_listing_isin_name
LSE::WOOD,proposed,WOOD,LSE,ETF,IE00B27YCF74,iShares Global Timber & Forestry UCITS ETF,ISHARES II PLC ISHRS GLBL TIMBER & FOREST ETF USD DIST,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,ead78e4f783b5153e33cf546,active_official_exact_listing_isin_name
LSE::WREE,proposed,WREE,LSE,ETF,IE000KHX9DX6,WisdomTree EnTrnMtlsandRrErthMnrs UCITS ETF USD Acc,WISDOMTREE ISSUER ICAV WT STRATEGIC METALS AND RARE UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,4245c773b3cc38ed4ab76ab3,active_official_exact_listing_isin_name
LSE::WRKS,proposed,WRKS,LSE,Stock,GB00BF5HBF20,Works co uk PLC,THEWORKS.CO.UK PLC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,1b080988e38cd13af11b5b90,active_official_exact_listing_isin_name
LSE::WVAL,proposed,WVAL,LSE,ETF,IE00BJXRT813,SPDR MSCI World Value UCITS ETF,SSGA SPDR ETFS EUROPE II PLC SS SPDR MSCI WLD VAL,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,58d4d0a9e3b3f34bad53e8c3,active_official_exact_listing_isin_name
