contract_id,contract_key,exchange,asset_type,claim_type,venue_status,source_keys,reference_scopes,denominator_method,denominator,observed_reference_keys,covered_reference_keys,missing_reference_keys,identity_conflict_keys,unclassified_keys,recall_pct,minimum_recall_pct,freshness_status,license_status,contract_status,freshness_failures,license_failures,required_next_action
4167b871cf94895397b4fdd0,HEL::ETF,HEL,ETF,official_partial,official_partial,nasdaq_nordic_helsinki_etfs,listed_companies_subset,observed_partial_scope_keys,2,2,1,1,0,0,50.0,,pass,fail,partial_scope_observed,,nasdaq_nordic_helsinki_etfs: license_status is not verified_open,do not promote partial scope to a full completeness claim
386dea70bf5d62bc498592fa,HEL::Stock,HEL,Stock,official_partial,official_partial,nasdaq_nordic_helsinki_shares,listed_companies_subset,observed_partial_scope_keys,194,194,189,5,0,0,97.42268,,pass,fail,partial_scope_observed,,nasdaq_nordic_helsinki_shares: license_status is not verified_open,do not promote partial scope to a full completeness claim
12d3a4714acbc357ce1c58fd,HKEX::ETF,HKEX,ETF,official_full,official_full,hkex_securities_list,exchange_directory,exchange_audit_official_active_product_rows,415,415,395,20,0,0,95.180723,99.5,pass,fail,fail_license,,hkex_securities_list: license_status is not verified_open,resolve the failing contract evidence before stable release
1bfd3597ec7310c0cb9b4d78,HKEX::Stock,HKEX,Stock,official_full,official_full,hkex_securities_list,exchange_directory,exchange_audit_official_active_product_rows,2782,2782,2632,150,0,0,94.608196,99.5,pass,fail,fail_license,,hkex_securities_list: license_status is not verified_open,resolve the failing contract evidence before stable release
e90cbfb4cdc0cc85d4833ef0,HNX::Stock,HNX,Stock,official_full,official_full,hnx_listed_securities,exchange_directory,exchange_audit_official_active_product_rows,299,299,104,195,0,0,34.782609,99.5,pass,fail,fail_license,,hnx_listed_securities: license_status is not verified_open,resolve the failing contract evidence before stable release
8aa68a8a99360419c31d3b3b,HOSE::ETF,HOSE,ETF,official_partial,official_partial,hose_etf_list,listed_companies_subset,observed_partial_scope_keys,20,20,13,7,0,0,65.0,,pass,fail,partial_scope_observed,,hose_etf_list: license_status is not verified_open,do not promote partial scope to a full completeness claim
ff1a80c1a95d60f512f99487,HOSE::Stock,HOSE,Stock,official_partial,official_partial,hose_fund_certificate_list|hose_listed_stocks,listed_companies_subset,observed_partial_scope_keys,408,408,139,269,0,0,34.068627,,pass,fail,partial_scope_observed,,hose_fund_certificate_list: license_status is not verified_open | hose_listed_stocks: license_status is not verified_open,do not promote partial scope to a full completeness claim
edb8cdbdbad809a78007e2dc,ICE_IS::Stock,ICE_IS,Stock,official_partial,official_partial,nasdaq_nordic_iceland_shares,listed_companies_subset,observed_partial_scope_keys,32,32,17,15,0,0,53.125,,pass,fail,partial_scope_observed,,nasdaq_nordic_iceland_shares: license_status is not verified_open,do not promote partial scope to a full completeness claim
f363b17b839230c91cf49022,IDX::Stock,IDX,Stock,official_full,official_full,idx_company_profiles|idx_listed_companies,exchange_directory|listed_companies_subset,exchange_audit_official_active_product_rows,1924,962,739,1185,25,0,38.409563,99.5,pass,fail,fail_identity_conflict,,idx_company_profiles: license_status is not verified_open | idx_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
78387c3e5bbbb4e3f3f2bca6,ISE::Stock,ISE,Stock,official_full,official_full,euronext_equities,exchange_directory,exchange_audit_official_active_product_rows,15,15,9,6,0,0,60.0,99.5,pass,fail,fail_license,,euronext_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
cfeb2396964201c13db9d058,JSE::ETF,JSE,ETF,official_partial,official_partial,jse_etf_list|jse_etn_list,listed_companies_subset,observed_partial_scope_keys,245,245,105,140,8,0,42.857143,,pass,fail,partial_scope_observed,,jse_etf_list: license_status is not verified_open | jse_etn_list: license_status is not verified_open,do not promote partial scope to a full completeness claim
0d2679b0ee9822d925ec42e7,KOSDAQ::Stock,KOSDAQ,Stock,official_full,official_full,krx_listed_companies,exchange_directory,exchange_audit_official_active_product_rows,1820,1820,1593,227,0,0,87.527473,99.5,pass,fail,fail_license,,krx_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
5c9d89e1bfa979671ae81638,KRX::ETF,KRX,ETF,official_full,official_full,krx_etf_finder,exchange_directory,exchange_audit_official_active_product_rows,1164,1164,1066,98,0,0,91.580756,99.5,pass,fail,fail_license,,krx_etf_finder: license_status is not verified_open,resolve the failing contract evidence before stable release
220831ea1acf03ac920327c2,KRX::Stock,KRX,Stock,official_full,official_full,krx_listed_companies,exchange_directory,exchange_audit_official_active_product_rows,941,941,889,52,0,0,94.473964,99.5,pass,fail,fail_license,,krx_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
9bc23773be81134b840477ea,LSE::ETF,LSE,ETF,official_full,official_full,lse_company_reports|lse_price_explorer,exchange_directory|listed_companies_subset,exchange_audit_official_active_product_rows,9911,5839,2601,7310,560,0,26.243568,99.5,fail,fail,fail_identity_conflict,lse_company_reports: latest refresh is unavailable,lse_company_reports: license_status is not verified_open | lse_price_explorer: license_status is not verified_open,resolve the failing contract evidence before stable release
dc29f39809268199f09c78f3,LSE::Stock,LSE,Stock,official_full,official_full,lse_company_reports|lse_instrument_directory|lse_price_explorer,exchange_directory|listed_companies_subset|security_lookup_subset,exchange_audit_official_active_product_rows,13984,8266,3881,10103,2596,0,27.753146,99.5,fail,fail,fail_identity_conflict,lse_company_reports: latest refresh is unavailable | lse_instrument_directory: latest refresh is unavailable,lse_company_reports: license_status is not verified_open | lse_instrument_directory: license_status is not verified_open | lse_price_explorer: license_status is not verified_open,resolve the failing contract evidence before stable release
aab5e6699d609f7016d1c315,LUSE::Stock,LUSE,Stock,official_partial,official_partial,luse_listed_companies,listed_companies_subset,observed_partial_scope_keys,15,15,15,0,0,0,100.0,,fail,fail,partial_scope_observed,luse_listed_companies: latest refresh is unavailable,luse_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
39af221a7e4bdb4f7967d866,MSE_MW::Stock,MSE_MW,Stock,official_partial,official_partial,mse_mw_listed_companies,listed_companies_subset,observed_partial_scope_keys,8,8,8,0,0,0,100.0,,fail,fail,partial_scope_observed,mse_mw_listed_companies: latest refresh is unavailable,mse_mw_listed_companies: license_status is not verified_open,do not promote partial scope to a full completeness claim
c66c50f78ad6d6440efc70ef,MSX::Stock,MSX,Stock,official_full,official_full,muscat_securities_companies,exchange_directory,exchange_audit_official_active_product_rows,108,108,91,17,0,0,84.259259,99.5,pass,fail,fail_license,,muscat_securities_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
817b73592756647e12610667,NASDAQ::ETF,NASDAQ,ETF,official_full,official_full,nasdaq_listed|nasdaq_trading_system_adds_deletes|sec_company_tickers_exchange,corporate_action_daily_list|exchange_directory,exchange_audit_official_active_product_rows,1352,1331,1021,331,62,0,75.517751,99.5,pass,fail,fail_identity_conflict,,nasdaq_listed: license_status is not verified_open | nasdaq_trading_system_adds_deletes: license_status is not verified_open,resolve the failing contract evidence before stable release
c6fb8fdca6a4849c57ecbc09,NASDAQ::Stock,NASDAQ,Stock,official_full,official_full,nasdaq_listed|sec_company_tickers_exchange,exchange_directory,exchange_audit_official_active_product_rows,8595,4370,3318,5277,185,0,38.603839,99.5,pass,fail,fail_identity_conflict,,nasdaq_listed: license_status is not verified_open,resolve the failing contract evidence before stable release
82e7dd240eaa7043b0145794,NEO::ETF,NEO,ETF,official_full,official_full,cboe_canada_listing_directory,exchange_directory,exchange_audit_official_active_product_rows,334,334,132,202,5,0,39.520958,99.5,pass,fail,fail_identity_conflict,,cboe_canada_listing_directory: license_status is not verified_open,resolve the failing contract evidence before stable release
5a0c814ceaee47d7cfad07b5,NEO::Stock,NEO,Stock,official_full,official_full,cboe_canada_listing_directory,exchange_directory,exchange_audit_official_active_product_rows,110,110,45,65,0,0,40.909091,99.5,pass,fail,fail_license,,cboe_canada_listing_directory: license_status is not verified_open,resolve the failing contract evidence before stable release
a0a7c1e2e91dfa8bda234824,NGX::Stock,NGX,Stock,official_full,official_full,ngx_company_profile_directory|ngx_equities_price_list,exchange_directory|listed_companies_subset,exchange_audit_official_active_product_rows,260,130,130,130,0,0,50.0,99.5,fail,fail,fail_freshness,ngx_company_profile_directory: snapshot age 12.18d exceeds 7d SLA,ngx_company_profile_directory: license_status is not verified_open | ngx_equities_price_list: license_status is not verified_open,resolve the failing contract evidence before stable release
13bb63eecc6e68a7580d5da6,NMFQS::ETF,NMFQS,ETF,official_partial,official_partial,nasdaq_mutual_fund_quotes,security_lookup_subset,observed_partial_scope_keys,6,6,6,0,0,0,100.0,,pass,fail,partial_scope_observed,,nasdaq_mutual_fund_quotes: license_status is not verified_open,do not promote partial scope to a full completeness claim
1e3f5dbc540449b199c64674,NSE_IN::ETF,NSE_IN,ETF,official_full,official_full,nse_india_securities_available,exchange_directory,exchange_audit_official_active_product_rows,345,345,142,203,0,0,41.15942,99.5,fail,fail,fail_freshness,nse_india_securities_available: snapshot age 12.18d exceeds 7d SLA,nse_india_securities_available: license_status is not verified_open,resolve the failing contract evidence before stable release
d648b20bb8996dfdc9fd8ec8,NSE_IN::Stock,NSE_IN,Stock,official_full,official_full,nse_india_securities_available,exchange_directory,exchange_audit_official_active_product_rows,2857,2857,2189,668,0,0,76.618831,99.5,fail,fail,fail_freshness,nse_india_securities_available: snapshot age 12.18d exceeds 7d SLA,nse_india_securities_available: license_status is not verified_open,resolve the failing contract evidence before stable release
d21dd499e422c99e72df3d40,NSE_KE::ETF,NSE_KE,ETF,official_full,official_full,nse_ke_listed_companies,exchange_directory,exchange_audit_official_active_product_rows,2,2,0,2,0,0,0.0,99.5,fail,fail,fail_freshness,nse_ke_listed_companies: snapshot age 12.18d exceeds 7d SLA,nse_ke_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
2de290074a8e66039e8cf33b,NSE_KE::Stock,NSE_KE,Stock,official_full,official_full,nse_ke_listed_companies,exchange_directory,exchange_audit_official_active_product_rows,66,66,11,55,0,0,16.666667,99.5,fail,fail,fail_freshness,nse_ke_listed_companies: snapshot age 12.18d exceeds 7d SLA,nse_ke_listed_companies: license_status is not verified_open,resolve the failing contract evidence before stable release
3a00ce48b8d99608cfa99410,NYSE::ETF,NYSE,ETF,official_full,official_full,nasdaq_other_listed|sec_company_tickers_exchange,exchange_directory,exchange_audit_official_active_product_rows,647,646,67,580,68,0,10.355487,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open,resolve the failing contract evidence before stable release
4ad09aaca0b8262616d7d595,NYSE::Stock,NYSE,Stock,official_full,official_full,nasdaq_other_listed|nasdaq_trading_system_adds_deletes|sec_company_tickers_exchange,corporate_action_daily_list|exchange_directory,exchange_audit_official_active_product_rows,5573,3615,1875,3698,158,0,33.644357,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open | nasdaq_trading_system_adds_deletes: license_status is not verified_open,resolve the failing contract evidence before stable release
1ab818d07dbbcf169884879b,NYSE ARCA::ETF,NYSE ARCA,ETF,official_full,official_full,nasdaq_other_listed|nasdaq_trading_system_adds_deletes,corporate_action_daily_list|exchange_directory,exchange_audit_official_active_product_rows,2709,2704,2159,550,102,0,79.697305,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open | nasdaq_trading_system_adds_deletes: license_status is not verified_open,resolve the failing contract evidence before stable release
31d562b52bdbb2e5d960d37e,NYSE ARCA::Stock,NYSE ARCA,Stock,official_full,official_full,nasdaq_other_listed,exchange_directory,exchange_audit_official_active_product_rows,17,17,0,17,12,0,0.0,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open,resolve the failing contract evidence before stable release
