listing_key,ticker,exchange,isin,figi,requested_exchange_hint,openfigi_exch_code,openfigi_candidate_count,identifier_isin,listing_index_isin,existing_identifier_figi,existing_listing_index_figi,decision,reason,verification_evidence_required,openfigi_probe_context,existing_identifier_context,apply_gate_context
TSXV::TUK,TUK,TSXV,CA8990501089,BBG000LR5JR0,CN,CN,54,CA8990501089,CA8990501089,BBG000LR5JR0,BBG000LR5JR0,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=54,identifier_isin=CA8990501089;listing_index_isin=CA8990501089;existing_identifier_figi=BBG000LR5JR0;existing_listing_index_figi=BBG000LR5JR0,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::UIG,UIG,TSXV,CA9170311067,BBG0136K4JT4,CN,CN,18,CA9170311067,CA9170311067,BBG0136K4JT4,BBG0136K4JT4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA9170311067;listing_index_isin=CA9170311067;existing_identifier_figi=BBG0136K4JT4;existing_listing_index_figi=BBG0136K4JT4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ULT,ULT,TSXV,CA90388C1068,BBG000N6BKH5,CN,CN,90,CA90388C1068,CA90388C1068,BBG000N6BKH5,BBG000N6BKH5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=90,identifier_isin=CA90388C1068;listing_index_isin=CA90388C1068;existing_identifier_figi=BBG000N6BKH5;existing_listing_index_figi=BBG000N6BKH5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::UNO-H,UNO-H,TSXV,CA6658702007,BBG000C20RV7,CN,CN,62,CA6658702007,CA6658702007,BBG000C20RV7,BBG000C20RV7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=62,identifier_isin=CA6658702007;listing_index_isin=CA6658702007;existing_identifier_figi=BBG000C20RV7;existing_listing_index_figi=BBG000C20RV7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::UPT.P,UPT.P,TSXV,CA91681C1086,BBG01FFSKLG1,CN,CN,18,CA91681C1086,CA91681C1086,BBG01FFSKLG1,BBG01FFSKLG1,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA91681C1086;listing_index_isin=CA91681C1086;existing_identifier_figi=BBG01FFSKLG1;existing_listing_index_figi=BBG01FFSKLG1,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::URZ,URZ,TSXV,CA91733V1040,BBG000BQ56W5,CN,CN,110,CA91733V1040,CA91733V1040,BBG000BQ56W5,BBG000BQ56W5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=110,identifier_isin=CA91733V1040;listing_index_isin=CA91733V1040;existing_identifier_figi=BBG000BQ56W5;existing_listing_index_figi=BBG000BQ56W5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VAL.P,VAL.P,TSXV,CA91912W1059,BBG00S5K3RB3,CN,CN,18,CA91912W1059,CA91912W1059,BBG00S5K3RB3,BBG00S5K3RB3,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA91912W1059;listing_index_isin=CA91912W1059;existing_identifier_figi=BBG00S5K3RB3;existing_listing_index_figi=BBG00S5K3RB3,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VAND,VAND,TSXV,CA51710H2054,BBG011DY0S50,CN,CN,21,CA51710H2054,CA51710H2054,BBG011DY0S50,BBG011DY0S50,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA51710H2054;listing_index_isin=CA51710H2054;existing_identifier_figi=BBG011DY0S50;existing_listing_index_figi=BBG011DY0S50,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VCC.P,VCC.P,TSXV,CA9255011087,BBG0116ZH9J4,CN,CN,18,CA9255011087,CA9255011087,BBG0116ZH9J4,BBG0116ZH9J4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA9255011087;listing_index_isin=CA9255011087;existing_identifier_figi=BBG0116ZH9J4;existing_listing_index_figi=BBG0116ZH9J4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VCG,VCG,TSXV,CA9279521012,BBG001F6VZZ7,CN,CN,77,CA9279521012,CA9279521012,BBG001F6VZZ7,BBG001F6VZZ7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=77,identifier_isin=CA9279521012;listing_index_isin=CA9279521012;existing_identifier_figi=BBG001F6VZZ7;existing_listing_index_figi=BBG001F6VZZ7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
