listing_key,ticker,local_exchange,twelvedata_exchange,twelvedata_mic,local_name,twelvedata_name,local_figi,twelvedata_figi,twelvedata_type
SZSE::000531,000531,SZSE,SZSE,XSHE,Guangzhou Hengyun Enterprises Holding Ltd,"Guangzhou Hengyun Enterprises Co., Ltd.",BBG000BG4R52,BBG000BG4RT6,Common Stock
SZSE::000532,000532,SZSE,SZSE,XSHE,Zhuhai Huajin Capital Co Ltd,"Zhuhai Huajin Capital Co., Ltd.",BBG000BZGSN5,BBG000BZGT62,Common Stock
SZSE::000533,000533,SZSE,SZSE,XSHE,Guangdong Macro Co Ltd,"Guangdong Shunna Electric Co., Ltd.",BBG000BZBR52,BBG000BZBRH9,Common Stock
SZSE::000534,000534,SZSE,SZSE,XSHE,Wedge Industrial Co Ltd,"Wedge Industrial Co., Ltd.",BBG000BZCWR6,BBG000BZCX49,Common Stock
SZSE::000536,000536,SZSE,SZSE,XSHE,CPT Technology Group Co Ltd,"CPT Technology Group Co., Ltd.",BBG000BZCRN1,BBG000BZCS31,Common Stock
SZSE::000537,000537,SZSE,SZSE,XSHE,Tianjin Guangyu Development Co Ltd,China Green Electricity Investment Corporation Limited,BBG000BZG9R3,BBG000BZGBL4,Common Stock
SZSE::000538,000538,SZSE,SZSE,XSHE,Yunnan Baiyao Group Co Ltd,"Yunnan Baiyao Group Co., Ltd.",BBG000BZGKX1,BBG000BZGLL2,Common Stock
SZSE::000539,000539,SZSE,SZSE,XSHE,Guangdong Electric Power Development Co Ltd,"Guangdong Electric Power Development Co., Ltd.",BBG000BZBH09,BBG000BZBHN4,Common Stock
KRX::000540,000540,KRX,KRX,XKRX,Heungkuk F&M I,"Heungkuk Fire & Marine Insurance Co., Ltd.",BBG000BDT257,BBG000BDT2C9,Common Stock
SZSE::000541,000541,SZSE,SZSE,XSHE,Foshan Electrical and Lighting Co Ltd,Foshan Electrical and Lighting Co. Ltd.,BBG000BZB8J9,BBG000BZB8Y2,Common Stock
SZSE::000543,000543,SZSE,SZSE,XSHE,An Hui Wenergy Co Ltd,"Anhui Wenergy Co., Ltd.",BBG000BZGD03,BBG000BZGF08,Common Stock
SZSE::000544,000544,SZSE,SZSE,XSHE,Central Plains Environment Protection Co Ltd,"Zhongyuan Environment Co., Ltd.",BBG000BZGN83,BBG000BZGP42,Common Stock
SZSE::000546,000546,SZSE,SZSE,XSHE,Jinyuan Cement Co Ltd,"Jinyuan Ep Co., Ltd.",BBG000BZCFG5,BBG000BZCG64,Common Stock
SZSE::000547,000547,SZSE,SZSE,XSHE,Addsino Co Ltd,"Addsino Co., Ltd.",BBG000BZBBR3,BBG000BZBCW5,Common Stock
SZSE::000548,000548,SZSE,SZSE,XSHE,Hunan Investment Group Co Ltd,"Hunan Investment Group Co., Ltd.",BBG000BZC7T9,BBG000BZC997,Common Stock
SZSE::000550,000550,SZSE,SZSE,XSHE,Jiangling Motors Corp Ltd,"Jiangling Motors Corporation, Ltd.",BBG000BZCBZ3,BBG000BZCCH1,Common Stock
SZSE::000551,000551,SZSE,SZSE,XSHE,Create Technology & Science Co Ltd,Create Technology & Science Co. Ltd.,BBG000BZB364,BBG000BZB426,Common Stock
SZSE::000552,000552,SZSE,SZSE,XSHE,Gansu Jingyuan Coal Industry and Electricity Power Co Ltd,"Gansu Energy Chemical Co., Ltd.",BBG000BZDQZ9,BBG000BZDSB1,Common Stock
SZSE::000553,000553,SZSE,SZSE,XSHE,ADAMA Ltd,Adama Ltd.,BBG000BZBZ36,BBG000BZBZL6,Common Stock
SZSE::000554,000554,SZSE,SZSE,XSHE,Sinopec Shandong Taishan Petroleum Co Ltd,"Sinopec Shandong Taishan Co., Ltd.",BBG000BZG5P3,BBG000BZG6L5,Common Stock
SZSE::000555,000555,SZSE,SZSE,XSHE,Digital China Information Service Co Ltd,"Digital China Information Service Co., Ltd.",BBG000BZFHG8,BBG000BZFJV7,Common Stock
SZSE::000557,000557,SZSE,SZSE,XSHE,Ningxia Western Venture Industrial Co Ltd,"Ningxia Western Venture Co., Ltd.",BBG000P67XD4,BBG000P67YT5,Common Stock
SZSE::000558,000558,SZSE,SZSE,XSHE,Lander Sports Development Co Ltd,"Lander Sports Development Co., Ltd.",BBG000BZCXW8,BBG000BZCYQ3,Common Stock
SZSE::000559,000559,SZSE,SZSE,XSHE,Wanxiang Qianchao Co Ltd,"Wanxiang Qianchao Co., Ltd.",BBG000BZGC69,BBG000BZGCV1,Common Stock
SZSE::000560,000560,SZSE,SZSE,XSHE,5I5j Holding Group Co Ltd,5i5j Holding Group Ltd.,BBG000BZCHY1,BBG000BZCKQ3,Common Stock
SZSE::000561,000561,SZSE,SZSE,XSHE,Shaanxi Fenghuo Electronics Co Ltd,Shaanxi Fenghuo Electronics Co. Ltd.,BBG000BZ9759,BBG000BZ9802,Common Stock
SZSE::000563,000563,SZSE,SZSE,XSHE,Shaanxi International Trust Co Ltd,Shaanxi International Trust Co. Ltd.,BBG000BZDZW2,BBG000BZF0T1,Common Stock
SZSE::000564,000564,SZSE,SZSE,XSHE,CCOOP Group Co Ltd,Ccooper Group Co. Ltd.,BBG000BZGJP3,BBG000BZGK98,Common Stock
SZSE::000565,000565,SZSE,SZSE,XSHE,Chongqing Sanxia Paints Co Ltd,"Chongqing Sanxia Paints Co., Ltd.",BBG000BZ9FM2,BBG000BZ9GS4,Common Stock
SZSE::000566,000566,SZSE,SZSE,XSHE,Hainan Haiyao Co Ltd,Hainan Haiyao Co. Ltd.,BBG000P69V19,BBG000P69W35,Common Stock
SZSE::000567,000567,SZSE,SZSE,XSHE,Hainan Haide Industry Co Ltd,"Hainan Haide Capital Management Co., Ltd.",BBG000P69KG7,BBG000P69L20,Common Stock
SZSE::000568,000568,SZSE,SZSE,XSHE,Luzhou Lao Jiao Co Ltd,"Luzhou Laojiao Co., Ltd.",BBG000BZCQF2,BBG000BZCR88,Common Stock
SZSE::000570,000570,SZSE,SZSE,XSHE,Changchai Co Ltd,"Changchai Co., Ltd.",BBG000P64CH9,BBG000P64D32,Common Stock
SZSE::000571,000571,SZSE,SZSE,XSHE,Sundiro Holding Co Ltd,"Sundiro Holding Co., Ltd.",BBG000P69T23,BBG000P69TS5,Common Stock
SZSE::000572,000572,SZSE,SZSE,XSHE,Haima Automobile Group Co Ltd,"Haima Automobile Co., Ltd.",BBG000P69HV7,BBG000P69K40,Common Stock
SZSE::000573,000573,SZSE,SZSE,XSHE,DongGuan Winnerway Industrial Zone Ltd,"Dongguan Winnerway Industrial Co., Ltd.",BBG000P668R5,BBG000P669T1,Common Stock
SZSE::000576,000576,SZSE,SZSE,XSHE,Guangdong Ganhua Science & Industry Co Ltd,"Guangdong Ganhua Science Co., Ltd.",BBG000P6CBX4,BBG000P6CCQ0,Common Stock
SZSE::000581,000581,SZSE,SZSE,XSHE,Weifu High-Technology Group Co Ltd,"Weifu High-Technology Group Co., Ltd.",BBG000P6M441,BBG000P6M5M8,Common Stock
SZSE::000582,000582,SZSE,SZSE,XSHE,Beibuwan Port Co Ltd,Beibuwan Port Co. Ltd.,BBG000P64655,BBG000P647G1,Common Stock
SZSE::000586,000586,SZSE,SZSE,XSHE,Sichuan Huiyuan Optical Com,"Sichuan Huiyuan Optical Co., Ltd.",BBG000P6K9Q8,BBG000P6KC72,Common Stock
