financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
O39.SI,O39,.SI,SGX,Oversea-Chinese Banking Corporation Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
O6Z.SI,O6Z,.SI,SGX,Lonza Group AG,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
OV8.SI,OV8,.SI,SGX,Sheng Siong Group Ltd.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
P34.SI,P34,.SI,SGX,Delfi Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
P8A.SI,P8A,.SI,SGX,Cordlife Group Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
P9D.SI,P9D,.SI,SGX,Civmec Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
Q01.SI,Q01,.SI,SGX,Gardenia,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
Q0F.SI,Q0F,.SI,SGX,IHH Healthcare Berhad,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S07.SI,S07,.SI,SGX,Shangri-La Hotels and Resorts,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S08.SI,S08,.SI,SGX,Singapore Post Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S58.SI,S58,.SI,SGX,SATS Ltd.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S59.SI,S59,.SI,SGX,SIA Engineering Company,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S61.SI,S61,.SI,SGX,SBS Transit,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S63.SI,S63,.SI,SGX,Singapore Technologies Engineering Ltd,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
S68.SI,S68,.SI,SGX,Singapore Exchange,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
T15.SI,T15,.SI,SGX,Tan Chong International Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
TQ5.SI,TQ5,.SI,SGX,Frasers Property Group,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
U11.SI,U11,.SI,SGX,United Overseas Bank Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
U14.SI,U14,.SI,SGX,UOL Group Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
U96.SI,U96,.SI,SGX,Sembcorp,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
U9E.SI,U9E,.SI,SGX,Everbright Water,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
UD2.SI,UD2,.SI,SGX,Japfa Ltd,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
Y92.SI,Y92,.SI,SGX,Thai Beverage,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
Z74.SI,Z74,.SI,SGX,Singapore Telecommunications Limited,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,false,global_expansion_candidate,needs_venue_onboarding_and_isin,,,,,0,0
