ticker,exchange,asset_type,name,sec_cik,sec_ticker,sec_exchange,sec_name,sec_sic,sec_sic_description,sector_update,number_tokens_match,name_match,decision
CBIPF,OTC,Stock,Crypto Blockchain Industries,,,,,,,,False,False,no_sec_match
CBRA,OTC,Stock,"Caring Brands, Inc.",,,,,,,,False,False,no_sec_match
CBRJ,OTC,Stock,Carbon Race Corp,,,,,,,,False,False,no_sec_match
CBUIF,OTC,Stock,C=Holdings B.V,,,,,,,,False,False,no_sec_match
CCFLU,OTC,Stock,Community Choice Financial Holdings LLC,,,,,,,,False,False,no_sec_match
CCOOD,OTC,Stock,Core Silver Corp.,,,,,,,,False,False,no_sec_match
CCVL,OTC,Stock,Crown Cap Ventures Ltd,,,,,,,,False,False,no_sec_match
CDNPV,OTC,Stock,CDNPV,,,,,,,,False,False,no_sec_match
CEGHF,OTC,Stock,China Education Group Holdings Limited,,,,,,,,False,False,no_sec_match
CFAGF,OTC,Stock,CLEAR GOLD RES INC.,,,,,,,,False,False,no_sec_match
CFLSF,OTC,Stock,CASH Financial Services Group Limited,,,,,,,,False,False,no_sec_match
CFMOF,OTC,Stock,Cofinimmo SA/NV,,,,,,,,False,False,no_sec_match
CGDCF,OTC,Stock,Carlin Gold Corp.,1342325,CGDCF,OTC,Carlin Gold Corp,,,,True,True,missing_sic
CGEGF,OTC,Stock,CGN New Energy Holdings Co. Ltd,,,,,,,,False,False,no_sec_match
CGXYF,OTC,Stock,China Galaxy Securities Co. Ltd,,,,,,,,False,False,no_sec_match
CHCLF,OTC,Stock,Citizen Watch Company Ltd,,,,,,,,False,False,no_sec_match
CHDHF,OTC,Stock,Ev Dynamics (Holdings) Limited,,,,,,,,False,False,no_sec_match
CHRB,OTC,Stock,CHRB,,,,,,,,False,False,no_sec_match
CHYYY,OTC,Stock,"Cathay Financial Holding Co., Ltd.",,,,,,,,False,False,no_sec_match
CIPI,OTC,Stock,Correlate Infrastructure Partners Inc,,,,,,,,False,False,no_sec_match
CITAY,OTC,Stock,COSCO SHIPPING Development Co. Ltd,,,,,,,,False,False,no_sec_match
CLCIV,OTC,Stock,CLCIV,,,,,,,,False,False,no_sec_match
CMDKF,OTC,Stock,China Modern Dairy Holdings Ltd.,,,,,,,,False,False,no_sec_match
CMSG,OTC,Stock,CONSENSUS MNG & SEIGNIOR,,,,,,,,False,False,no_sec_match
CMTND,OTC,Stock,Cullinan Metals Corp.,,,,,,,,False,False,no_sec_match
CNALF,OTC,Stock,CANAL+SA,,,,,,,,False,False,no_sec_match
CNCOF,OTC,Stock,ARIZONA EAGLE MINING CORP.,,,,,,,,False,False,no_sec_match
CNLFF,OTC,Stock,Canlan Ice Sports Corp,,,,,,,,False,False,no_sec_match
CNRC,OTC,Stock,Cunningham Natural Resources Corp,,,,,,,,False,False,no_sec_match
CNUN,OTC,Stock,Community Bancshares Inc. (McArthur OH),,,,,,,,False,False,no_sec_match
COUTF,OTC,Stock,China Outfitters Holdings Ltd,,,,,,,,False,False,no_sec_match
CPHGF,OTC,Stock,CONSUN PHARMACEUTICAL GP,,,,,,,,False,False,no_sec_match
CRBAF,OTC,Stock,AGEREH TECHNOLOGIES INC,,,,,,,,False,False,no_sec_match
CRPFY,OTC,Stock,Corporación Financiera Colombiana S.A,,,,,,,,False,False,no_sec_match
CRPGF,OTC,Stock,CHINA RES PHARMACEUTICAL GROUP LTD.,,,,,,,,False,False,no_sec_match
CRSXQ,OTC,Stock,Corsa Coal Corp.,,,,,,,,False,False,no_sec_match
CRTAF,OTC,Stock,Cartica Acquisition Corp,,,,,,,,False,False,no_sec_match
CRTHF,OTC,Stock,CARsgen Therapeutics Holdings Limited,,,,,,,,False,False,no_sec_match
CRTTF,OTC,Stock,Cortus Metals Inc,,,,,,,,False,False,no_sec_match
CRTUF,OTC,Stock,CRTUF,,,,,,,,False,False,no_sec_match
CRUCD,OTC,Stock,CRUCD,,,,,,,,False,False,no_sec_match
CRVAF,OTC,Stock,CURVEBEAM AI LTD.,,,,,,,,False,False,no_sec_match
CSCNF,OTC,Stock,China SCE Group Holdings Ltd,,,,,,,,False,False,no_sec_match
CSMRF,OTC,Stock,CLASSIC MINERALS LTD.,,,,,,,,False,False,no_sec_match
CSRIF,OTC,Stock,COPPER STD RES INC,,,,,,,,False,False,no_sec_match
CTBO,OTC,Stock,Cantabio Pharmaceuticals Inc,,,,,,,,False,False,no_sec_match
CTLDF,OTC,Stock,Controladora Axtel S.A.B. de C.V.,,,,,,,,False,False,no_sec_match
CTNMF,OTC,Stock,CHINA TREASURES NEW MATLS GROUP LTD,,,,,,,,False,False,no_sec_match
CUHRF,OTC,Stock,CUHRF,,,,,,,,False,False,no_sec_match
CUPPF,OTC,Stock,Super Copper Corp.,2021989,CUPPF,OTC,Super Copper Corp.,,,,True,True,missing_sic
CVTV,OTC,Stock,China VTV Ltd,,,,,,,,False,False,no_sec_match
CVWFF,OTC,Stock,CVW CleanTech Inc,,,,,,,,False,False,no_sec_match
CWWGF,OTC,Stock,CHAOWEI POWER HLDGS,,,,,,,,False,False,no_sec_match
DAIDF,OTC,Stock,"Daido Steel Co., Ltd.",,,,,,,,False,False,no_sec_match
DAWIF,OTC,Stock,Daiwa Industries Ltd,,,,,,,,False,False,no_sec_match
DAWUF,OTC,Stock,DAIWA HOUSE REIT INV,,,,,,,,False,False,no_sec_match
DDNFD,OTC,Stock,DDNFD,,,,,,,,False,False,no_sec_match
DEFG,OTC,Stock,Grayscale Decentralized Finance (DeFi) Fund LLC,1874907,DEFG,OTC,Grayscale Decentralized Finance (DeFi) Fund LLC,,,,True,True,missing_sic
DGCOF,OTC,Stock,Daura Capital Corp.,1809267,DGCOF,OTC,Daura Capital Corp.,,,,True,True,missing_sic
DGQTF,OTC,Stock,DELTA GOLD TECHNOLOGIES,,,,,,,,False,False,no_sec_match
DGTEF,OTC,Stock,Eat & Beyond Global Holdings Inc.,1978151,DGTEF,OTC,Eat & Beyond Global Holdings Inc.,,,,True,True,missing_sic
DHAWF,OTC,Stock,DAIWA HSE ASSET MGMT ASIA,,,,,,,,False,False,no_sec_match
DMNB,OTC,Stock,Diamond Bancshares Inc,,,,,,,,False,False,no_sec_match
DMNID,OTC,Stock,Damon Inc.,,,,,,,,False,False,no_sec_match
DMYYU,OTC,Stock,dMY Squared Technology Group Inc,,,,,,,,False,False,no_sec_match
DMYYW,OTC,Stock,"dMY Squared Technology Group, Inc.",,,,,,,,False,False,no_sec_match
DNKGF,OTC,Stock,"Denki Kogyo Co., Ltd.",,,,,,,,False,False,no_sec_match
DOWAD,OTC,Stock,DOWAD,,,,,,,,False,False,no_sec_match
DOWAY,OTC,Stock,Dowway Holdings Limited/ADR,,,,,,,,False,False,no_sec_match
DPBE,OTC,Stock,Deep Blue Marine Inc,,,,,,,,False,False,no_sec_match
DRPRY,OTC,Stock,Dr. Ing. h.c. F. Porsche AG,,,,,,,,False,False,no_sec_match
DRRLF,OTC,Stock,DIATREME RESOURCES LTD.,,,,,,,,False,False,no_sec_match
DSEAF,OTC,Stock,DEEP SEA MINERALS CORP,,,,,,,,False,False,no_sec_match
