ticker,name,exchange,asset_type,stock_sector,etf_category,country,country_code,isin,aliases,source_kind,source_exchange,source_mic,eodhd_exchange,eodhd_type,figi,lei,opendart_corp_code
3L3,Tactile Systems Technology Inc,FSX,Stock,,,Germany,DE,US87357P1003,Tactile Systems Technology Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00KH6MXW1,,
3L50,LIGHTSPEED COMMERCE INC.,FSX,Stock,,,Germany,DE,CA53229C1077,Lightspeed Commerce Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00S4XXPR0,,
3L7A,Qualys Inc,FSX,Stock,,,Germany,DE,US74758T3032,"Qualys, Inc.",stocks,FSX,XFRA,F,Common Stock,BBG003GQL4M2,,
3L7A,Qualys Inc,XSTU,Stock,,,Germany,DE,US74758T3032,"Qualys, Inc.",stocks,XSTU,XSTU,STU,Common Stock,BBG003GQL4M2,,
3LI,Regulus Resources Inc,FSX,Stock,,,Germany,DE,CA75915M1077,Regulus Resources Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00D6TB669,,
3LL,CSSC(HK)SHIPPING CO.LTD,FSX,Stock,,,Germany,DE,HK0000504214,"CSSC Hong Kong Shipping Co., Ltd.",stocks,FSX,XFRA,F,Common Stock,BBG00PGLZ1J9,,
3LM,THETA GOLD MNS LTD,FSX,Stock,,,Germany,DE,AU0000035701,Theta Gold Mines Limited,stocks,FSX,XFRA,F,Common Stock,BBG00JGLV330,,
3LN,Live Nation Entertainment Inc,XSTU,Stock,,,Germany,DE,US5380341090,"Live Nation Entertainment, Inc.",stocks,XSTU,XSTU,STU,Common Stock,BBG000TQYSY4,,
3LN,Live Nation Entertainment Inc,FSX,Stock,,,Germany,DE,US5380341090,"Live Nation Entertainment, Inc.",stocks,FSX,XFRA,F,Common Stock,BBG000TQYSY4,,
3LQ,QMC Quantum Minerals Corp,FSX,Stock,,,Germany,DE,CA74734C1014,QMC Quantum Minerals Corp.,stocks,FSX,XFRA,F,Common Stock,BBG001KJ0JC8,,
3LR,CAMDEN NATL CORP.,FSX,Stock,,,Germany,DE,US1330341082,Camden National Corporation,stocks,FSX,XFRA,F,Common Stock,BBG00VXCZBF9,,
