conflict_id,isin,listing_key,ticker,exchange,name,asset_type,action,reason,evidence_status,retained_isin
5b14a0bdd911395d9bb5,CNE1000002K5,OTC::CHEAF,CHEAF,OTC,China Eastern Airlines Corporation Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002K5
c0813434ae242d4e2044,CNE1000002M1,FSX::M4B,M4B,FSX,China Merchants Bank Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002M1
c0813434ae242d4e2044,CNE1000002M1,HKEX::03968,03968,HKEX,CM BANK,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000002M1
c0813434ae242d4e2044,CNE1000002M1,OTC::CIHHF,CIHHF,OTC,China Merchants Bank Co Ltd Class H,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002M1
9413eb0b686de72c272f,CNE1000002N9,FSX::D1Y,D1Y,FSX,China National Building Material Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000002N9
9413eb0b686de72c272f,CNE1000002N9,HKEX::03323,03323,HKEX,CNBM,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000002N9
9413eb0b686de72c272f,CNE1000002N9,OTC::CBUMF,CBUMF,OTC,China National Building Material Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000002N9
6e811d50441ab0029730,CNE1000002Q2,FSX::CHU,CHU,FSX,China Petroleum & Chemical Corporation,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002Q2
6e811d50441ab0029730,CNE1000002Q2,HKEX::00386,00386,HKEX,SINOPEC CORP,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000002Q2
6e811d50441ab0029730,CNE1000002Q2,OTC::SNPMF,SNPMF,OTC,China Petroleum & Chemical Corp Class H,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002Q2
ccdc00265fb9a6d7174e,CNE1000002S8,FSX::HIFH,HIFH,FSX,COSCO SHIPPING Energy Transportation Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002S8
ccdc00265fb9a6d7174e,CNE1000002S8,HKEX::01138,01138,HKEX,COSCO SHIP ENGY,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000002S8
ccdc00265fb9a6d7174e,CNE1000002S8,OTC::CSDXF,CSDXF,OTC,COSCO SHIPPING Energy Transportation Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002S8
3d39362fd2c49fb33459,CNE1000002T6,FSX::ZNHH,ZNHH,FSX,China Southern Airlines Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002T6
3d39362fd2c49fb33459,CNE1000002T6,HKEX::01055,01055,HKEX,CHINA SOUTH AIR,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000002T6
3d39362fd2c49fb33459,CNE1000002T6,OTC::CHKIF,CHKIF,OTC,China Southern Airlines Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002T6
1bc2da82cac5c2782dfc,CNE1000002X8,FSX::W8R,W8R,FSX,"Changan Minsheng APLL Logistics Co., Ltd.",Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000002X8
1bc2da82cac5c2782dfc,CNE1000002X8,HKEX::01292,01292,HKEX,CMA LOGISTICS,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000002X8
0ab1b5ba85376e85b364,CNE100000338,FSX::GRV,GRV,FSX,Great Wall Motor Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000338
0ab1b5ba85376e85b364,CNE100000338,HKEX::02333,02333,HKEX,GWMOTOR,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000338
0ab1b5ba85376e85b364,CNE100000338,HKEX::82333,82333,HKEX,GWMOTOR-R,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000338
0ab1b5ba85376e85b364,CNE100000338,OTC::GWLLF,GWLLF,OTC,Great Wall Motor Co Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000338
0ab1b5ba85376e85b364,CNE100000338,XSTU::GRV,GRV,XSTU,GREAT WALL MOTOR-H- (GRV.SG),Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000338
050164ad5145ef4643f4,CNE100000353,FSX::GKE,GKE,FSX,Hisense Home Appliances Group Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000353
050164ad5145ef4643f4,CNE100000353,HKEX::00921,00921,HKEX,HISENSE HA,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100000353
050164ad5145ef4643f4,CNE100000353,OTC::HISEF,HISEF,OTC,Hisense Home Appliances Group Co. Ltd,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000353
b07d620ec15543b948bb,CNE100000387,FSX::GU5,GU5,FSX,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000387
b07d620ec15543b948bb,CNE100000387,HKEX::00874,00874,HKEX,BAIYUNSHAN PH,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100000387
b07d620ec15543b948bb,CNE100000387,OTC::GZPHF,GZPHF,OTC,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000387
b07d620ec15543b948bb,CNE100000387,XSTU::GU5,GU5,XSTU,Guangzhou Baiyunshan Pharmaceut,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000387
2acad173aff911d3162c,CNE100000395,FSX::GSZ,GSZ,FSX,CSSC Offshore & Marine Engineering (Group) Co Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000395
2acad173aff911d3162c,CNE100000395,HKEX::00317,00317,HKEX,COMEC,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000395
8b63cb9b00052352392b,CNE1000003G1,FSX::ICK,ICK,FSX,Industrial and Commercial Bank of China Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000003G1
8b63cb9b00052352392b,CNE1000003G1,HKEX::01398,01398,HKEX,ICBC,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000003G1
8b63cb9b00052352392b,CNE1000003G1,OTC::IDCBF,IDCBF,OTC,Industrial and Commercial Bank of China,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000003G1
47956cae84a61fc40c07,CNE1000003J5,FSX::JE2,JE2,FSX,Jiangsu Expressway Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000003J5
47956cae84a61fc40c07,CNE1000003J5,HKEX::00177,00177,HKEX,JIANGSU EXPRESS,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000003J5
47956cae84a61fc40c07,CNE1000003J5,OTC::JEXYF,JEXYF,OTC,Jiangsu Expressway Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000003J5
4d085c14e9dfc5694e64,CNE1000003V0,FSX::NE4H,NE4H,FSX,Northeast Electric Development Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000003V0
4d085c14e9dfc5694e64,CNE1000003V0,HKEX::00042,00042,HKEX,NE ELECTRIC,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000003V0
ea79e08b8ef866f2f786,CNE100000437,FSX::USR,USR,FSX,Shanghai Electric Group Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000437
ea79e08b8ef866f2f786,CNE100000437,HKEX::02727,02727,HKEX,SH ELECTRIC,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100000437
ea79e08b8ef866f2f786,CNE100000437,OTC::SIELF,SIELF,OTC,Shanghai Electric Group Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000437
6f9ef3209ee3a319fc91,CNE100000478,FSX::SHZH,SHZH,FSX,Shenzhen Expressway Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000478
6f9ef3209ee3a319fc91,CNE100000478,HKEX::00548,00548,HKEX,SHENZHENEXPRESS,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000478
6f9ef3209ee3a319fc91,CNE100000478,OTC::SHZNF,SHZNF,OTC,Shenzhen Expressway Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE100000478
370d968231d2e8d7db99,CNE100000494,FSX::EXF1,EXF1,FSX,Sichuan Expressway Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000494
370d968231d2e8d7db99,CNE100000494,HKEX::00107,00107,HKEX,SICHUAN EXPRESS,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE100000494
370d968231d2e8d7db99,CNE100000494,OTC::SEXHF,SEXHF,OTC,Sichuan Expressway Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE100000494
aabaf731621b6bca12ee,CNE1000004C8,FSX::SGJH,SGJH,FSX,Sinopec Shanghai Petrochemical Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004C8
aabaf731621b6bca12ee,CNE1000004C8,HKEX::00338,00338,HKEX,SHANGHAI PECHEM,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004C8
4709b2c6fbc8de9d92ad,CNE1000004D6,FSX::YIZH,YIZH,FSX,Sinopec Oilfield Service Corporation,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004D6
4709b2c6fbc8de9d92ad,CNE1000004D6,HKEX::01033,01033,HKEX,SINOPEC SSC,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004D6
4709b2c6fbc8de9d92ad,CNE1000004D6,OTC::YZCFF,YZCFF,OTC,Sinopec Oilfield Service Corporation,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004D6
