financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at
PE&OLES.MX,PE&OLES,.MX,BMV,Industrias Peñoles S.A.B. de C.V.,secondary_review,true,2026-04-17T07:41:14Z
TS.MX,TS,.MX,BMV,Tenaris S.A.,secondary_review,true,2026-04-17T07:41:14Z
TV.MX,TV,.MX,BMV,"Grupo Televisa, S.A.B.",secondary_review,true,2026-04-17T07:41:14Z
URBI.MX,URBI,.MX,BMV,"Urbi Desarrollos Urbanos, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
WALMEX.MX,WALMEX,.MX,BMV,"Wal-Mart de México, S.A.B. de C.V.",secondary_review,true,2026-04-17T07:41:14Z
500020.BO,500020,.BO,BSE_IN,The Bombay Dyeing & Manufacturing Company Ltd,secondary_review,true,2026-04-17T07:41:14Z
500027.BO,500027,.BO,BSE_IN,Atul Limited,secondary_review,true,2026-04-17T07:41:14Z
500031.BO,500031,.BO,BSE_IN,Bajaj Electricals Ltd.,secondary_review,true,2026-04-17T07:41:14Z
500034.BO,500034,.BO,BSE_IN,Bajaj Finance Limited,secondary_review,true,2026-04-17T07:41:14Z
500059.BO,500059,.BO,BSE_IN,Binani Industries,secondary_review,true,2026-04-17T07:41:14Z
500067.BO,500067,.BO,BSE_IN,Blue Star Limited,secondary_review,true,2026-04-17T07:41:14Z
500085.BO,500085,.BO,BSE_IN,Chambal Fertilisers,secondary_review,true,2026-04-17T07:41:14Z
500093.BO,500093,.BO,BSE_IN,CG Power and Industrial Solutions Limited,secondary_review,true,2026-04-17T07:41:14Z
500102.BO,500102,.BO,BSE_IN,Ballarpur Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
500104.BO,500104,.BO,BSE_IN,Hindustan Petroleum,secondary_review,true,2026-04-17T07:41:14Z
500112.BO,500112,.BO,BSE_IN,State Bank of India (SBI),secondary_review,true,2026-04-17T07:41:14Z
500128.BO,500128,.BO,BSE_IN,Electrosteel Castings Limited,secondary_review,true,2026-04-17T07:41:14Z
500165.BO,500165,.BO,BSE_IN,Kansai Nerolac Paints Limited,secondary_review,true,2026-04-17T07:41:14Z
500182.BO,500182,.BO,BSE_IN,Hero MotoCorp Limited,secondary_review,true,2026-04-17T07:41:14Z
500209.BO,500209,.BO,BSE_IN,Infosys Limited,secondary_review,true,2026-04-17T07:41:14Z
500219.BO,500219,.BO,BSE_IN,Jain Irrigation Systems,secondary_review,true,2026-04-17T07:41:14Z
500228.BO,500228,.BO,BSE_IN,JSW Steel Limited,secondary_review,true,2026-04-17T07:41:14Z
500240.BO,500240,.BO,BSE_IN,Kinetic Engineering Limited,secondary_review,true,2026-04-17T07:41:14Z
500241.BO,500241,.BO,BSE_IN,Kirloskar Brothers Limited,secondary_review,true,2026-04-17T07:41:14Z
500257.BO,500257,.BO,BSE_IN,Lupin Limited,secondary_review,true,2026-04-17T07:41:14Z
500279.BO,500279,.BO,BSE_IN,MIRC Electronics Ltd.,secondary_review,true,2026-04-17T07:41:14Z
500285.BO,500285,.BO,BSE_IN,SpiceJet,secondary_review,true,2026-04-17T07:41:14Z
500292.BO,500292,.BO,BSE_IN,"Mysore Cements Limited(Current Name: Mycem, HeidelbergCement)",secondary_review,true,2026-04-17T07:41:14Z
500295.BO,500295,.BO,BSE_IN,Vedanta Limited,secondary_review,true,2026-04-17T07:41:14Z
500304.BO,500304,.BO,BSE_IN,NIIT Limited,secondary_review,true,2026-04-17T07:41:14Z
500325.BO,500325,.BO,BSE_IN,Reliance Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
500335.BO,500335,.BO,BSE_IN,Birla Corporation Limited,secondary_review,true,2026-04-17T07:41:14Z
500405.BO,500405,.BO,BSE_IN,Supreme Petrochemicals,secondary_review,true,2026-04-17T07:41:14Z
500420.BO,500420,.BO,BSE_IN,Torrent Pharmaceuticals Limited,secondary_review,true,2026-04-17T07:41:14Z
500425.BO,500425,.BO,BSE_IN,Ambuja Cements Limited,secondary_review,true,2026-04-17T07:41:14Z
500449.BO,500449,.BO,BSE_IN,Hindustan Organic Chemicals Ltd,secondary_review,true,2026-04-17T07:41:14Z
500467.BO,500467,.BO,BSE_IN,Harrisons Malayalam,secondary_review,true,2026-04-17T07:41:14Z
500469.BO,500469,.BO,BSE_IN,Federal Bank Limited,secondary_review,true,2026-04-17T07:41:14Z
500470.BO,500470,.BO,BSE_IN,Tata Steel Limited,secondary_review,true,2026-04-17T07:41:14Z
500500.BO,500500,.BO,BSE_IN,Hindustan Motors Limited.,secondary_review,true,2026-04-17T07:41:14Z
500510.BO,500510,.BO,BSE_IN,Larsen & Toubro Limited,secondary_review,true,2026-04-17T07:41:14Z
500520.BO,500520,.BO,BSE_IN,Mahindra & Mahindra Limited,secondary_review,true,2026-04-17T07:41:14Z
500660.BO,500660,.BO,BSE_IN,GlaxoSmithKline Pharmaceuticals Ltd,secondary_review,true,2026-04-17T07:41:14Z
500696.BO,500696,.BO,BSE_IN,Hindustan Unilever Limited,secondary_review,true,2026-04-17T07:41:14Z
500790.BO,500790,.BO,BSE_IN,Nestlé India Limited,secondary_review,true,2026-04-17T07:41:14Z
500800.BO,500800,.BO,BSE_IN,Tata Consumer Products Limited,secondary_review,true,2026-04-17T07:41:14Z
500850.BO,500850,.BO,BSE_IN,The Indian Hotels Company Limited,secondary_review,true,2026-04-17T07:41:14Z
500870.BO,500870,.BO,BSE_IN,Castrol India,secondary_review,true,2026-04-17T07:41:14Z
500878.BO,500878,.BO,BSE_IN,CEAT Limited,secondary_review,true,2026-04-17T07:41:14Z
501425.BO,501425,.BO,BSE_IN,The Bombay Burmah Trading Corporation Limited,secondary_review,true,2026-04-17T07:41:14Z
501455.BO,501455,.BO,BSE_IN,Greaves Cotton Limited,secondary_review,true,2026-04-17T07:41:14Z
502355.BO,502355,.BO,BSE_IN,Balkrishna Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
502865.BO,502865,.BO,BSE_IN,Forbes & Company Ltd.,secondary_review,true,2026-04-17T07:41:14Z
502958.BO,502958,.BO,BSE_IN,The Lakshmi Mills Company Limited,secondary_review,true,2026-04-17T07:41:14Z
503806.BO,503806,.BO,BSE_IN,SRF Limited,secondary_review,true,2026-04-17T07:41:14Z
503811.BO,503811,.BO,BSE_IN,Siyaram Silk Mills Ltd.,secondary_review,true,2026-04-17T07:41:14Z
504058.BO,504058,.BO,BSE_IN,Indo National Limited,secondary_review,true,2026-04-17T07:41:14Z
504067.BO,504067,.BO,BSE_IN,Zensar Technologies Ltd.,secondary_review,true,2026-04-17T07:41:14Z
505192.BO,505192,.BO,BSE_IN,SML Mahindra Limited,secondary_review,true,2026-04-17T07:41:14Z
505242.BO,505242,.BO,BSE_IN,Dynamatic® Technologies Limited,secondary_review,true,2026-04-17T07:41:14Z
505533.BO,505533,.BO,BSE_IN,Westlife Foodworld Limited,secondary_review,true,2026-04-17T07:41:14Z
505537.BO,505537,.BO,BSE_IN,Zee Entertainment Enterprises Limited,secondary_review,true,2026-04-17T07:41:14Z
505840.BO,505840,.BO,BSE_IN,Jaipan Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
506390.BO,506390,.BO,BSE_IN,Heubach Colorants India Limited,secondary_review,true,2026-04-17T07:41:14Z
506395.BO,506395,.BO,BSE_IN,Coromandel International Limited,secondary_review,true,2026-04-17T07:41:14Z
507410.BO,507410,.BO,BSE_IN,Walchandnagar Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
507435.BO,507435,.BO,BSE_IN,Khoday Group,secondary_review,true,2026-04-17T07:41:14Z
508486.BO,508486,.BO,BSE_IN,Hawkins Cookers Limited,secondary_review,true,2026-04-17T07:41:14Z
508906.BO,508906,.BO,BSE_IN,Everest Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
508989.BO,508989,.BO,BSE_IN,Navneet Education Limited,secondary_review,true,2026-04-17T07:41:14Z
509567.BO,509567,.BO,BSE_IN,Goa Carbon Limited,secondary_review,true,2026-04-17T07:41:14Z
509692.BO,509692,.BO,BSE_IN,The Indian Card Clothing Company Ltd.,secondary_review,true,2026-04-17T07:41:14Z
509874.BO,509874,.BO,BSE_IN,Shalimar Paints,secondary_review,true,2026-04-17T07:41:14Z
509966.BO,509966,.BO,BSE_IN,VST Industries Ltd,secondary_review,true,2026-04-17T07:41:14Z
511108.BO,511108,.BO,BSE_IN,Shiva Texyarn Limited,secondary_review,true,2026-04-17T07:41:14Z
511243.BO,511243,.BO,BSE_IN,Cholamandalam Investment and Finance Company,secondary_review,true,2026-04-17T07:41:14Z
511431.BO,511431,.BO,BSE_IN,Vakrangee Limited,secondary_review,true,2026-04-17T07:41:14Z
512070.BO,512070,.BO,BSE_IN,UPL Limited,secondary_review,true,2026-04-17T07:41:14Z
512531.BO,512531,.BO,BSE_IN,State Trading Corporation of India Ltd.,secondary_review,true,2026-04-17T07:41:14Z
512599.BO,512599,.BO,BSE_IN,Adani Enterprises Limited,secondary_review,true,2026-04-17T07:41:14Z
513349.BO,513349,.BO,BSE_IN,Ajmera Realty & Infra India,secondary_review,true,2026-04-17T07:41:14Z
513353.BO,513353,.BO,BSE_IN,Cochin Minerals and Rutile Limited (CMRL),secondary_review,true,2026-04-17T07:41:14Z
513599.BO,513599,.BO,BSE_IN,Hindustan Copper Limited,secondary_review,true,2026-04-17T07:41:14Z
515145.BO,515145,.BO,BSE_IN,Hindustan National Glass & Industries Limited,secondary_review,true,2026-04-17T07:41:14Z
517041.BO,517041,.BO,BSE_IN,Ador Welding Limited,secondary_review,true,2026-04-17T07:41:14Z
517146.BO,517146,.BO,BSE_IN,Usha Martin Limited,secondary_review,true,2026-04-17T07:41:14Z
517385.BO,517385,.BO,BSE_IN,Symphony,secondary_review,true,2026-04-17T07:41:14Z
517506.BO,517506,.BO,BSE_IN,TTK Prestige,secondary_review,true,2026-04-17T07:41:14Z
517536.BO,517536,.BO,BSE_IN,Onward Technologies,secondary_review,true,2026-04-17T07:41:14Z
519156.BO,519156,.BO,BSE_IN,Vadilal,secondary_review,true,2026-04-17T07:41:14Z
519602.BO,519602,.BO,BSE_IN,Kellton Tech Solutions Limited.,secondary_review,true,2026-04-17T07:41:14Z
520056.BO,520056,.BO,BSE_IN,TVS Holdings Ltd,secondary_review,true,2026-04-17T07:41:14Z
521163.BO,521163,.BO,BSE_IN,Zodiac Clothing Company Ltd,secondary_review,true,2026-04-17T07:41:14Z
