ticker,exchange,asset_type,name,category_update,matched_rule,decision
PMIO,NYSE ARCA,ETF,PGIM ETF Trust,,,no_rule_match
PR4,ASX,ETF,PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,,,no_rule_match
PRPEF,OTC,ETF,PRPEF,,,no_rule_match
PRVS,NYSE,ETF,Parnassus Income Funds,,,no_rule_match
PRXG,NYSE ARCA,ETF,Praxis Funds,,,no_rule_match
PRXV,NYSE ARCA,ETF,Praxis Funds,,,no_rule_match
PSUCF,OTC,ETF,PSUCF,,,no_rule_match
PTENGETF,BVB,ETF,FDI ETF ENERGIE PATRIA TRADEVIL,,,no_rule_match
PU6,ASX,ETF,PEPPER SPARKZ TRUST NO.6,,,no_rule_match
PU8,ASX,ETF,PEPPER SPARKZ TRUST NO.8,,,no_rule_match
PU9,ASX,ETF,PEPPER SPARKZ TRUST NO.9,,,no_rule_match
PUSH,NYSE ARCA,ETF,PGIM ETF Trust,,,no_rule_match
PVEX,BATS,ETF,TrueShares ConVex Protect ETF,,,no_rule_match
QDAY,NEO,ETF,Hamilton EnhancedTechnology DayMAX™ ETF,,,no_rule_match
QDVXF,OTC,ETF,iShares II plc.,,,no_rule_match
QNTG,LSE,ETF,VANECK UCITS ETFS PLC VANECK QU,,,no_rule_match
QUTMF,OTC,ETF,VANECK UCITS ETFS PUB LTD CO.,,,no_rule_match
RAV,TSX,ETF,Ravensource Fund,,,no_rule_match
RCR.P,TSXV,ETF,Canna 8 Investment Trust,,,no_rule_match
RGOS,ASX,ETF,Russell Sust Global Opportunities Complex ETF,,,no_rule_match
RISR,NYSE ARCA,ETF,FolioBeyond Rising Rates ETF,,,no_rule_match
RJVI,NYSE ARCA,ETF,RJ Eagle Vertical Income ETF,,,no_rule_match
RMPH,LSE,ETF,RMPH TRM RESPONSIB SRCED PHYS £ HDGD GLD ETC,,,no_rule_match
RNDR,Euronext,ETF,21Shares Render ETP,,,no_rule_match
RONB,NYSE,ETF,Baron ETF Trust,,,no_rule_match
RSSY,BATS,ETF,Return Stacked U,,,no_rule_match
RVRB,BATS,ETF,Advisors Series Trust - Reverb ETF,,,no_rule_match
SCA,ASX,ETF,SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,,,no_rule_match
SEGP,LSE,ETF,iShares Plc,,,no_rule_match
SIAMLETF40,NGX,ETF,SIAML PENSION ETF 40,,,no_rule_match
SLGOMXH25,HEL,ETF,Seligson & Co OMX Helsinki 25,,,no_rule_match
SLJY,NYSE ARCA,ETF,Amplify ETF Trust,,,no_rule_match
SMIZ,NYSE ARCA,ETF,Zacks Trust,,,no_rule_match
SMRF,NYSE ARCA,ETF,ALPS ETF Trust,,,no_rule_match
SMTH,NYSE ARCA,ETF,ALPS ETF Trust,,,no_rule_match
STANBICETF,NGX,ETF,STANBIC IBTC ETF 30,,,no_rule_match
STBQ,NYSE ARCA,ETF,Amplify ETF Trust,,,no_rule_match
STXSWX,JSE,ETF,Satrix Swix Top 40 ETF,,,no_rule_match
SURF,TSXV,ETF,Starlight U.S. Residential Fund (Multi-Family) Investment LP,,,no_rule_match
THRV,NASDAQ,ETF,Prospera Income ETF,,,no_rule_match
TKNQ,NYSE ARCA,ETF,Amplify ETF Trust,,,no_rule_match
TOAK,NYSE ARCA,ETF,Manager Directed Portfolios,,,no_rule_match
TOLL,BATS,ETF,Tema Monopolies and Oligopolies ETF,,,no_rule_match
TSES,NYSE ARCA,ETF,Truth Social Funds,,,no_rule_match
TSIC,NYSE ARCA,ETF,Truth Social Funds,,,no_rule_match
TSNF,NYSE ARCA,ETF,Truth Social Funds,,,no_rule_match
TSRS,NYSE ARCA,ETF,Truth Social Funds,,,no_rule_match
TSSD,NYSE ARCA,ETF,Truth Social Funds,,,no_rule_match
TVBETETF,BVB,ETF,Fondul Deschis De Investitii BET Tradeville,,,no_rule_match
USAF,NASDAQ,ETF,Atlas America Fund,,,no_rule_match
USCE,AMS,ETF,SPDR BB SB USCorEH,,,no_rule_match
VANG11,B3,ETF,ICATU VANGUARDA INCENTIVADO EM INFRAESTRUTURA,,,no_rule_match
VCD,ASX,ETF,VICINITY CENTRES TRUST,,,no_rule_match
VETBANK,NGX,ETF,VETIVA BANKING ETF,,,no_rule_match
VETGOODS,NGX,ETF,VETIVA CONSUMER GOODS ETF,,,no_rule_match
VETGRIF30,NGX,ETF,VETIVA GRIFFIN 30 ETF,,,no_rule_match
VGE-ETF,BSE_BW,ETF,VGE-ETF,,,no_rule_match
VRNIX,NMFQS,ETF,Vanguard Scottsdale Funds - Vanguard Russell 1000 ETF,,,no_rule_match
WAMA,NASDAQ,ETF,WisdomTree US Adaptive Moving Average Fund,,,no_rule_match
WDEDF,OTC,ETF,WISDOMTREE ISSUER ICAV,,,no_rule_match
WT,NYSE,ETF,WisdomTree Inc.,,,no_rule_match
XACT-NORDE,STO,ETF,XACT NORDEN,,,no_rule_match
XACTC25,CPH,ETF,Xact Kapitalforvaltning,,,no_rule_match
XD12,LSE,ETF,X SDG 12 CIRCULAR ECONOMY,,,no_rule_match
XFRD,XETRA,ETF,db Physical Rhodium ETC (EUR),,,no_rule_match
XPAY,NYSE ARCA,ETF,Roundhill ETF Trust,,,no_rule_match
YFYA,NYSE ARCA,ETF,Yields for You Strategy A ETF,,,no_rule_match
YYYM,NYSE ARCA,ETF,Amplify ETF Trust,,,no_rule_match
