ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
GRVA.P,TSXV,Stock,Grosvenor CPC I Inc.,GRVA.P,Grosvenor CPC I Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GTM.P,TSXV,Stock,G2M Cap Corp.,GTM.P,G2M Cap Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
GXY.P,TSXV,Stock,Galaxy Ventures Inc.,GXY.P,Galaxy Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HAW.P,TSXV,Stock,Haw Capital 2 Corp.,HAW.P,Haw Capital 2 Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HCO.P,TSXV,Stock,Hansco Capital Corp.,HCO.P,Hansco Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HEC.P,TSXV,Stock,Haviland Enviro Corp.,HEC.P,Haviland Enviro Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HO.P,TSXV,Stock,H2 Ventures 1 Inc.,HO.P,H2 Ventures 1 Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HRC.P,TSXV,Stock,Hoshi Resource Corp.,HRC.P,Hoshi Resource Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
HRMS,TSX,Stock,Hermès CDR (CAD Hedged),HRMS,Hermès CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
ICGH,TSXV,Stock,IC Group Holdings Inc.,ICGH,IC Group Holdings Inc.,TSXV,Technology,,Information Technology,accept
ICI.P,TSXV,Stock,Inceptus Capital Ltd.,ICI.P,Inceptus Capital Ltd.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ICRS,TSXV,Stock,Icarus Capital Corp.,ICRS,Icarus Capital Corp.,TSXV,Consumer Products & Services,,,unsupported_or_ambiguous_tmx_sector
ICWY.P,TSXV,Stock,ICWHY Capital Ventures Inc.,ICWY.P,ICWHY Capital Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
IGBT-UN,TSX,Stock,2028 Investment Grade Bond Trust,IGBT,2028 Investment Grade Bond Trust,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
IKC.P,TSXV,Stock,Ikigai Capital Corp.,IKC.P,Ikigai Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
IMPT,TSXV,Stock,Impact Development Group Inc.,IMPT,Impact Development Group Inc.,TSXV,Real Estate,,Real Estate,accept
INGS,TSX,Stock,ING CDR (CAD Hedged),INGS,ING CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
JCI-H,TSXV,Stock,JM CAPITAL II CORP,,,,,,,no_tmx_symbol_match
JOJO.P,TSXV,Stock,Jo-Jo Capital Canada Ltd.,JOJO.P,Jo-Jo Capital Canada Ltd.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
JTWO,TSXV,Stock,J2 Metals Inc.,JTWO,J2 Metals Inc.,TSXV,Mining,,Materials,accept
JVR.P,TSXV,Stock,JVR Ventures Inc.,JVR.P,JVR Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
KALM.P,TSXV,Stock,Kalma Capital Corp.,KALM.P,Kalma Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
KKL.P,TSXV,Stock,Kelly Ventures Ltd.,KKL.P,Kelly Ventures Ltd.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
KLX,TSXV,Stock,Klimat X Developments Inc.,KLX,Carbon Done Right Developments Inc.,TSXV,Clean Technology & Renewable Energy,,,unsupported_or_ambiguous_tmx_sector
KOVO,TSXV,Stock,Kovo Healthtech Corp,KOVO,Kovo+ Holdings Inc.,TSXV,Life Sciences,,Health Care,accept
KPEN.P,TSXV,Stock,KP3993 Resources Inc.,KPEN.P,KP3993 Resources Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
KUAI.P,TSXV,Stock,Kua Investments Inc.,KUAI.P,Kua Investments Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
LCX,TSXV,Stock,Lycos Energy Inc.,LCX,Lycos Energy Inc.,TSXV,Oil & Gas,,Energy,accept
LDB.P,TSXV,Stock,LDB Capital Corp.,LDB.P,LDB Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
LEGY,TSXV,Stock,Legacy Gold Mines Ltd.,LEGY,Legacy Gold Mines Ltd.,TSXV,Mining,,Materials,accept
LFC.P,TSXV,Stock,Left Field Capital Corp.,LFC.P,Left Field Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
LILL.P,TSXV,Stock,Little Fish Acquisition I Corp.,LILL.P,Little Fish Acquisition I Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
LIRC,TSX,Stock,Lithium Royalty Corp.,,,,,,,no_tmx_symbol_match
LN,TSX,Stock,Loncor Gold Inc.,,,,,,,no_tmx_symbol_match
LNGE,TSXV,Stock,LNG Energy Group Corp.,LNGE,LNG Energy Group Corp.,TSXV,Oil & Gas,,Energy,accept
LSC.P,TSXV,Stock,Lombard Street Capital Corp.,,,,,,,no_tmx_symbol_match
LVMH,TSX,Stock,LVMH CDR (CAD Hedged),LVMH,LVMH CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
MAK-U,TSX,Stock,MAK Acquisition Corp.,MAK,MAK Acquisition Corp.,TSX,SPAC,,,unsupported_or_ambiguous_tmx_sector
MAN.P,TSXV,Stock,Mandala Capital Inc.,MAN.P,Mandala Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MAND.P,TSXV,Stock,Mandeville Ventures Inc.,MAND.P,Mandeville Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MAR-UN,TSXV,Stock,Marwest Apartment Real Estate Investment Trust,MAR,Marwest Apartment Real Estate Investment Trust,TSXV,Real Estate,,Real Estate,accept
MCCP.P,TSXV,Stock,Michichi Capital Corp.,MCCP.P,Michichi Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MCT.P,TSXV,Stock,M3 Capital Corp.,MCT.P,M3 Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MDK.P,TSXV,Stock,MDK Acquisition Inc.,MDK.P,MDK Acquisition Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MEED.P,TSXV,Stock,MEED Growth Corp.,MEED.P,MEED Growth Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MEGO.P,TSXV,Stock,Amego Capital Corp.,MEGO.P,Amego Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MFA.P,TSXV,Stock,Mayfair Acquisition Corporation,MFA.P,Mayfair Acquisition Corporation,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MIC,TSX,Stock,Sagen MI Canada Inc.,MIC,Sagen MI Canada Inc.,TSX,Financial Services,,Financials,accept
MID-UN,TSX,Stock,MINT Income Fund,MID,MINT Income Fund,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
MINK,TSXV,Stock,Mink Ventures Corporation,MINK,Mink Ventures Corporation,TSXV,Mining,,Materials,accept
MNLX,TSXV,Stock,MiniLuxe Holding Corp.,MNLX,MiniLuxe Holding Corp.,TSXV,Consumer Products & Services,,,unsupported_or_ambiguous_tmx_sector
MOGO,TSX,Stock,Mogo Inc.,,,,,,,no_tmx_symbol_match
MONA.P,TSXV,Stock,Monarch West Ventures Inc.,MONA.P,Monarch West Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MONY.P,TSXV,Stock,Harmony Acquisitions Corp.,MONY.P,Harmony Acquisitions Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MPV.P,TSXV,Stock,Matchpoint Ventures Corp.,MPV.P,Matchpoint Ventures Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MRKI.P,TSXV,Stock,"Meraki Acquisition One, Inc.",MRKI.P,"Meraki Acquisition One, Inc.",TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
MUST-H,TSXV,Stock,Must Capital Inc,,,,,,,no_tmx_symbol_match
NAQ.P,TSXV,Stock,Navigator Acquisition Corp.,NAQ.P,Navigator Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
NEME.P,TSXV,Stock,New Media Capital 2.0 Inc.,NEME.P,New Media Capital 2.0 Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
NIS.P,TSXV,Stock,Cann-is Capital Corp.,NIS.P,Cann-is Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
NLII.P,TSXV,Stock,NL2 Capital Inc.,NLII.P,NL2 Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
NOVO,TSX,Stock,Novo Nordisk CDR (CAD Hedged),NOVO,Novo Nordisk CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
NOWS,TSX,Stock,ServiceNow CDR (CAD Hedged),NOWS,ServiceNow CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
NPS,TSX,Stock,Canadian Large Cap Leaders Split Corp.,NPS,Canadian Large Cap Leaders Split Corp.,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
NRR-UN,TSX,Stock,Northview Residential REIT,NRR,Northview Residential REIT,TSX,Real Estate,,Real Estate,accept
NRZ-H,TSXV,Stock,Norzan Enterprises Ltd.,,,,,,,no_tmx_symbol_match
NSTL,TSX,Stock,Nestlé CDR (CAD Hedged),NSTL,Nestlé CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
NSU,TSXV,Stock,North Shore Uranium Ltd.,NSU,North Shore Uranium Ltd.,TSXV,Mining,,Materials,accept
NTLX,TSXV,Stock,Neurothera Labs Inc.,NTLX,Neurothera Labs Inc.,TSXV,Life Sciences,,Health Care,accept
