ticker,exchange,asset_type,name,sec_security_type,sec_name,sec_symbol,sec_isin_local,decision
AU,SET,Stock,AFTER YOU PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),AU,TH7650010005,accept
AWC,SET,Stock,ASSET WORLD CORP PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),AWC,TH9436010002,accept
B,SET,Stock,BEGISTICS PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
BCH,SET,Stock,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),BCH,TH0808010Y07,accept
BGC,SET,Stock,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน),BGC,TH8777010001,accept
BIG,SET,Stock,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),BIG,TH0234B10Z00,accept
BM,SET,Stock,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บางกอกชีทเม็ททัล จำกัด (มหาชน),BM,TH7207010003,accept
BOL,SET,Stock,BUSINESS ONLINE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน),BOL,TH0771010Z06,accept
BR,SET,Stock,BANGKOK RANCH PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บางกอกแร้นช์ จำกัด (มหาชน),BR,TH4683010003,accept
BRR,SET,Stock,BURIRAM SUGAR PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน),BRR,TH6011010001,accept
CAZ,SET,Stock,CAZ (THAILAND) PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ซี เอ แซด (ประเทศไทย) จำกัด (มหาชน),CAZ,TH8886010009,accept
CCP,SET,Stock,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),CCP,TH0745A10Z03,accept
CHG,SET,Stock,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โรงพยาบาลจุฬารัตน์ จำกัด (มหาชน),CHG,TH4539010Z03,accept
CIMBT,SET,Stock,CIMB THAI BANK PUBLIC COMPANY LIMITED,หุ้นสามัญ,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),CIMBT,TH0041010Y05,accept
CITY,SET,Stock,CITY STEEL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ซิตี้ สตีล จำกัด (มหาชน),CITY,TH0898010002,accept
CM,SET,Stock,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เชียงใหม่โฟรเซ่นฟูดส์ จำกัด (มหาชน),CM,TH0317010Z08,accept
CMR,SET,Stock,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน),CMR,TH0432010Z05,accept
CNT,SET,Stock,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),CNT,TH0216010Z02,accept
CPF,SET,Stock,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),CPF,TH0101A10Z01,accept
CPL,SET,Stock,CPL GROUP PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),CPL,TH0459010Z08,accept
CPR,SET,Stock,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน),CPR,TH0829010006,accept
CRC,SET,Stock,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),CRC,TH9597010007,accept
