ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
CSCS,NASDAQ,ETF,Direxion Daily CSCO Bear 1X ETF,,,,,,,,,,no_nyse_sample_match
CSIO,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CSPF,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CSSD,NYSE ARCA,ETF,Cohen & Steers ETF Trust,,,,,,,,,,no_nyse_sample_match
CTWO,NYSE,ETF,COtwo Advisors Physical European Carbon Allowance Trust,,,,,,,,,,no_nyse_sample_match
DABS,NYSE ARCA,ETF,DoubleLine ETF Trust,,,,,,,,,,no_nyse_sample_match
DADS,NASDAQ,ETF,Digital Asset Debt Strategy ETF,,,,,,,,,,no_nyse_sample_match
DAN,NYSE,Stock,Dana Inc,,,,,,,,,,name_mismatch
DBCA,NASDAQ,Stock,D. Boral Acquisition I Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
DCH,NYSE,Stock,Dauch Corporation,,,,,,,,,,no_nyse_sample_match
DCMT,NYSE ARCA,ETF,DoubleLine ETF Trust,DCMT,DoubleLine ETF Trust,DoubleLine Commodity Strategy ETF,ETF,US25861R5019,COMMODITIES_AND_FUTURES,ACTIVE,US25861R5019,Commodity,accept_isin_etf_category
DDDD,NYSE ARCA,ETF,YieldMax U.S. Stocks Target Double Distribution ETF,,,,,,,,,,no_nyse_sample_match
DDX,BATS,ETF,Defined Duration 10 ETF,,,,,,,,,,no_nyse_sample_match
DECM,BATS,ETF,FT Vest U.S. Equity Max Buffer ETF - December,,,,,,,,,,no_nyse_sample_match
DECP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - December,DECP,PGIM US Large-Cap Buffer 12 ETF - December,ETF,ETF,US69420N7268,,,US69420N7268,,accept_isin
DESK,NYSE ARCA,ETF,VanEck ETF Trust,,,,,,,,,,name_mismatch
DFHY,BATS,ETF,TrimTabs Donoghue Forlines Tactical High Yield ETF,DFHY,Donoghue Forlines Tactical High Yield ETF,ETF,ETF,US89628W6093,,,US89628W6093,,accept_isin
DFMC,NYSE ARCA,ETF,U.S. Micro Cap Portfolio: ETF Class Shares,,,,,,,,,,no_nyse_sample_match
DFNSW,NASDAQ,Stock,T3 Defense Inc.,,,,,,,,,,no_nyse_sample_match
DFNV,BATS,ETF,TrimTabs Donoghue Forlines Risk Managed Innovation ETF,DFNV,Donoghue Forlines Innovation ETF,ETF,ETF,US89628W5004,,,US89628W5004,,accept_isin
DFSU,NYSE ARCA,ETF,Dimensional US Sustainability Core 1 ETF,DFSU,Dimensional ETF Trust,Dimensional US Sustainability Core 1 ETF,ETF,US25434V7165,EQUITY,ACTIVE,,Equity,accept_etf_category
DFTT,NYSE ARCA,ETF,DF Tactical 30 ETF,,,,,,,,,,no_nyse_sample_match
DFVE,NYSE ARCA,ETF,DoubleLine ETF Trust,,,,,,,,,,name_mismatch
DGIN,NYSE ARCA,ETF,VanEck ETF Trust,DGIN,VanEck ETF Trust,VanEck Digital India ETF,ETF,US92189H7897,EQUITY,INDEX,,Equity,accept_etf_category
DHLX,NYSE ARCA,ETF,Diamond Hill Funds,,,,,,,,,,no_nyse_sample_match
DIVE,NYSE ARCA,ETF,Dana Concentrated Dividend ETF,,,,,,,,,,no_nyse_sample_match
DMX,NYSE ARCA,ETF,DoubleLine ETF Trust,,,,,,,,,,name_mismatch
DOJE,BATS,ETF,REX-Osprey DOGE ETF,,,,,,,,,,no_nyse_sample_match
DRAG,BATS,ETF,Roundhill China Dragons ETF,DRAG,Roundhill China Dragons ETF,ETF,ETF,US77926X8746,,,US77926X8746,,accept_isin
DRAY,NYSE ARCA,ETF,YieldMax DKNG Option Income Strategy ETF,,,,,,,,,,no_nyse_sample_match
DSCF,BATS,ETF,Discipline Fund ETF,DSCF,Discipline Fund ETF,ETF,ETF,US02072L7486,,,,,no_update
DSPY,NYSE ARCA,ETF,Tema ETF Trust,,,,,,,,,,no_nyse_sample_match
DTG,NYSE,Stock,DTE Energy Company 2021 Series E,,,,,,,,,,name_mismatch
DUNK,NYSE ARCA,ETF,Dana Unconstrained Equity ETF,,,,,,,,,,no_nyse_sample_match
DWAW,NASDAQ,ETF,AdvisorShares Dorsey Wright FSM All Cap World ETF,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,ETF,ETF,US00768Y4796,,,,,no_update
DYLD,NYSE ARCA,ETF,Two Roads Shared Trust - LeaderShares Dynamic Yield ETF,DYLD,Two Roads Shared Trust,LeaderShares� Dynamic Yield ETF,ETF,US90214Q6750,EQUITY,ACTIVE,,Equity,accept_etf_category
EBI,NASDAQ,ETF,Longview Advantage ETF,,,,,,,,,,no_nyse_sample_match
EDGQ,NYSE ARCA,ETF,Global X Nasdaq-100 Income Edge ETF,,,,,,,,,,no_nyse_sample_match
EDGX,NYSE ARCA,ETF,Global X U.S. 500 Income Edge ETF,,,,,,,,,,no_nyse_sample_match
