ticker,exchange,asset_type,name,bse_scrip_code,bse_security_id,bse_name,bse_isin,bse_sector,bse_industry,bse_group,bse_subgroup,sector_update,name_match,isin_match,decision,error
GFSTEELS,BSE_IN,Stock,Grand Foundry Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
GGAUTO,BSE_IN,Stock,GG Automotive Gears Ltd,531399,GGAUTO,GG Automotive Gears Ltd,INE493B01017,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Consumer Discretionary,True,True,accept,
GGDPROP,BSE_IN,Stock,G. G. Dandekar Properties Ltd,505250,GGDPROP,G. G. Dandekar Properties Ltd,INE631D01026,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Industrials,True,True,accept,
GHUSHINE,BSE_IN,Stock,Ghushine Fintrrade Ocean Ltd,539864,GHUSHINE,Ghushine Fintrrade Ocean Ltd,INE009U01011,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
GHVINFRA,BSE_IN,Stock,GHV Infra Projects Ltd,505504,GHVINFRA,GHV Infra Projects Ltd,INE809Q01020,Industrials,Construction,Construction,Civil Construction,Industrials,True,True,accept,
GKCONS,BSE_IN,Stock,GK Consultants Ltd,531758,GKCONS,GK Consultants Ltd,INE131D01019,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GLAAMUP,BSE_IN,Stock,Glaam Up Jwel Ltd,542477,GLAAMUP,Glaam Up Jwel Ltd,INE03CM01014,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GLHRL,BSE_IN,Stock,Global Longlife Hospital and Research Ltd,543520,GLHRL,Global Longlife Hospital and Research Ltd,INE0J2K01014,Healthcare,Healthcare,Healthcare Services,Hospital,Health Care,True,True,accept,
GLOBALLOG,BSE_IN,Stock,Global Ocean Logistics India Ltd,544665,GLOBALLOG,Global Ocean Logistics India Ltd,INE1ITY01011,Services,Services,Transport Services,Logistics Solution Provider,Industrials,True,True,accept,
GLOBTIER,BSE_IN,Stock,Globtier Infotech Ltd,544494,GLOBTIER,Globtier Infotech Ltd,INE12P601017,Information Technology,Information Technology,IT - Services,IT Enabled Services,Information Technology,True,True,accept,
GLOBUSCON,BSE_IN,Stock,Globus Constructors & Developers Ltd,526025,GLOBUSCON,Globus Constructors & Developers Ltd,INE064L01015,Utilities,Power,Power,Power Generation,Utilities,True,True,accept,
GOBLIN,BSE_IN,Stock,Goblin India Ltd,542850,GOBLIN,Goblin India Ltd,INE492Z01018,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",Consumer Discretionary,True,True,accept,
GOEL,BSE_IN,Stock,Goel Food Products Ltd,543538,GOEL,Goel Food Products Ltd,INE0K6L01010,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,Consumer Discretionary,True,True,accept,
GOELCONS,BSE_IN,Stock,Goel Construction Company Ltd,544504,GOELCONS,Goel Construction Company Ltd,INE0ZOM01013,Industrials,Construction,Construction,Civil Construction,Industrials,True,True,accept,
GOGIACAPGL,BSE_IN,Stock,Gogia Capital Growth Ltd,531600,GOGIACAPGL,Gogia Capital Growth Ltd,INE832C01014,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,Financials,True,True,accept,
GOLCA,BSE_IN,Stock,Golden Carpets Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
GOLDENCREST,BSE_IN,Stock,Golden Crest Education & Services Ltd,540062,GOLDENCREST,Golden Crest Education & Services Ltd,INE222U01010,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,Consumer Discretionary,True,True,accept,
GOLDENTOBC,BSE_IN,Stock,Golden Tobacco Ltd,500151,GOLDENTOBC,Golden Tobacco Ltd,INE973A01010,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",Consumer Discretionary,True,True,accept,
GOLDLEG,BSE_IN,Stock,Golden Legand Leasing & finance Ltd,509024,GOLDLEG,Golden Legand Leasing & finance Ltd,INE088E01019,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GOPAIST,BSE_IN,Stock,Gopal Iron & Steels Company Gujarat Ltd,531913,GOPAIST,Gopal Iron & Steels Company Gujarat Ltd,INE641H01018,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,Industrials,True,True,accept,
GOURMET,BSE_IN,Stock,Gourmet Gateway India Ltd,506134,GOURMET,Gourmet Gateway India Ltd,INE512D01028,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,Consumer Discretionary,True,True,accept,
