ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,isin_update,sector_update,decision,source_url
DXXI3,B3,Stock,DUXXI IMOBILIÁRIA S.A.,,,,,,,,no_symbol_match,
E3XT3,B3,Stock,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,,,,,,,,no_symbol_match,
EBTL3,B3,Stock,EMBRATEL - EMPR.BRASILEIRA DE TELEC S.A.,,,,,,,,no_symbol_match,
EC3S3,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,,no_symbol_match,
EC3S4,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,,no_symbol_match,
EESG3,B3,Stock,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
EGCE3,B3,Stock,ENERGISA GERACAO CENTRAIS EOLICAS RN S.A.,,,,,,,,no_symbol_match,
ELBR4,B3,Stock,ELEBRA S/A ELETRONICA BRASILEIRA,,,,,,,,no_symbol_match,
EMBP3,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
EMBP4,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
ENAC3,B3,Stock,CIA ARMAZENS GERAIS ENTREPOSTOS DO ACRE,,,,,,,,no_symbol_match,
EPTR4,B3,Stock,EMPR TURISMO DE PERNAMBUCO S.A. -EMPETUR,,,,,,,,no_symbol_match,
ESGS3,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,,no_symbol_match,
ESGS4,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,,no_symbol_match,
ESSD3,B3,Stock,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,no_symbol_match,
ESSE5,B3,Stock,ESSENCIA AGROPECUARIA S.A.,,,,,,,,no_symbol_match,
ETGO3,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,,no_symbol_match,
ETGO4,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,,no_symbol_match,
F8DF5,B3,Stock,FRIGORIFICO DIAS S/A - FRIGODIAS,,,,,,,,no_symbol_match,
FAEL6,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,,no_symbol_match,
FAEL7,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,,no_symbol_match,
FGRT5,B3,Stock,FRIGORIFICO REDENTOR S.A.,,,,,,,,no_symbol_match,
FMNP3,B3,Stock,FIRMINOPOLIS TRANSMISSAO S.A.,,,,,,,,no_symbol_match,
FNUV3,B3,Stock,FENAUVA-FEIRA NAC DA UVA TUR E EMPR S.A.,,,,,,,,no_symbol_match,
FRNV3,B3,Stock,CIA DE NAVEG DO SAO FRANCISCO - FRANAVE,,,,,,,,no_symbol_match,
FTRO3,B3,Stock,FRUTOS TROPICAIS S/A,,,,,,,,no_symbol_match,
GENT3,B3,Stock,LG INFORMÁTICA S.A.,,,,,,,,no_symbol_match,
GPLA5,B3,Stock,GEPLAN HOTEIS S.A.,,,,,,,,no_symbol_match,
GUNI3,B3,Stock,GRUPO UNI.CO S.A.,,,,,,,,no_symbol_match,
HCAR3,B3,Stock,HOSPITAL CARE CALEDONIA S.A.,,,,,,,,no_symbol_match,
HEDA3,B3,Stock,HEDERA INVESTIMENTOS E PARTICIPAÇÕES S.A,,,,,,,,no_symbol_match,
HLJP3,B3,Stock,HOTEL LAJE DE PEDRA S.A.,,,,,,,,no_symbol_match,
HOAM5,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,,,,,,,,no_symbol_match,
HOAM6,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,,,,,,,,no_symbol_match,
ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,,,,,,,,no_symbol_match,
IPNN3,B3,Stock,TESTE IPN VS SA,,,,,,,,no_symbol_match,
IVLG3B,B3,Stock,INVITEL LEGACY S.A.,,,,,,,,no_symbol_match,
IVPR3B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,,,,,,,,no_symbol_match,
IVPR4B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,,,,,,,,no_symbol_match,
JCBA6,B3,Stock,J C BARRETTO FERTILIZANTES S.A.,,,,,,,,no_symbol_match,
KALS5,B3,Stock,KA 2 LAUNDRY SERVICES S.A.,,,,,,,,no_symbol_match,
KALU3,B3,Stock,KALUNGA S.A,,,,,,,,no_symbol_match,
LAZT3,B3,Stock,LAGO AZUL TRANSMISSO S.A.,,,,,,,,no_symbol_match,
LMED3,B3,Stock,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,,,,,,,,no_symbol_match,
LOGS3,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,,,,,,,,no_symbol_match,
LOGS4,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,,,,,,,,no_symbol_match,
LTEL3B,B3,Stock,LITEL PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
LTLA3B,B3,Stock,LITELA PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
MAQN3,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
MAQN4,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
MDIN3,B3,Stock,MUNDIAL INC,,,,,,,,no_symbol_match,
MDSI3,B3,Stock,MUNDIAL ASIA HONG KONG,,,,,,,,no_symbol_match,
MGFB3,B3,Stock,M&G FIBRAS HOLDING S.A.,,,,,,,,no_symbol_match,
MKSS3,B3,Stock,MKS SOLUÇÕES INTEGRADAS S.A.,,,,,,,,no_symbol_match,
MMBR3,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,,,,,,,,no_symbol_match,
MMBR4,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,,,,,,,,no_symbol_match,
MMCA3,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,,,,,,,,no_symbol_match,
MMCA4,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,,,,,,,,no_symbol_match,
MMCF3,B3,Stock,MAGNETI MARELLI COFAP-CIA FABR PECAS S/A,,,,,,,,no_symbol_match,
MMCF4,B3,Stock,MAGNETI MARELLI COFAP-CIA FABR PECAS S/A,,,,,,,,no_symbol_match,
MNBI3,B3,Stock,MLOG S.A.,,,,,,,,no_symbol_match,
MTAL3,B3,Stock,CIMETAL SIDERURGIA S/A,,,,,,,,no_symbol_match,
MTAL6,B3,Stock,CIMETAL SIDERURGIA S/A,,,,,,,,no_symbol_match,
MTNR5,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,,,,,,,,no_symbol_match,
MTNR7,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,,,,,,,,no_symbol_match,
MWIS6,B3,Stock,MWI - SISTEMA DE COMUNICACAO S.A.,,,,,,,,no_symbol_match,
NAII3,B3,Stock,NAI HOLDINGS S.A.,,,,,,,,no_symbol_match,
NAII4,B3,Stock,NAI HOLDINGS S.A.,,,,,,,,no_symbol_match,
NESB3,B3,Stock,NESBER S.A.,,,,,,,,no_symbol_match,
NIPL3,B3,Stock,NIPLAN ENGENHARIA S.A.,,,,,,,,no_symbol_match,
NKEP3,B3,Stock,NK 031 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
NKEP4,B3,Stock,NK 031 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
NODA3,B3,Stock,NOVADATA SISTEMAS E COMPUTADORES S/A,,,,,,,,no_symbol_match,
NODA6,B3,Stock,NOVADATA SISTEMAS E COMPUTADORES S/A,,,,,,,,no_symbol_match,
NOVI3,B3,Stock,NORTIS INCORPORADORA E CONSTRUTORA S.A.,,,,,,,,no_symbol_match,
NXVL3,B3,Stock,NOXVILLE INVESTIMENTOS S.A.,,,,,,,,no_symbol_match,
NXVL4,B3,Stock,NOXVILLE INVESTIMENTOS S.A.,,,,,,,,no_symbol_match,
OBAH3,B3,Stock,GRUPO FARTURA DE HORTIFRUT S/A,,,,,,,,no_symbol_match,
OBIO3,B3,Stock,OLEOPLAN S.A - ÓLEOS VEGETAIS PLANALTO,,,,,,,,no_symbol_match,
ODTR3,B3,Stock,OTP S.A.,,,,,,,,no_symbol_match,
OPDL3B,B3,Stock,DALETH PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
OPGM3,B3,Stock,GAMA PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
ORNA4B,B3,Stock,ORNATO S.A. INDL DE PISOS E AZULEJOS,,,,,,,,no_symbol_match,
P5RD3,B3,Stock,MATRIZ COMPANHIA METALURGICA PRADA,,,,,,,,no_symbol_match,
PASS5,B3,Stock,COMPASS GAS E ENERGIA S.A.,,,,,,,,no_symbol_match,
PCBU3,B3,Stock,PACAEMBU CONSTRUTORA S.A.,,,,,,,,no_symbol_match,
PCEM13,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,,,,,,,,no_symbol_match,
PCEM14,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,,,,,,,,no_symbol_match,
PCEM15,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,,,,,,,,no_symbol_match,
PCEM16,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,,,,,,,,no_symbol_match,
PCEM17,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,,,,,,,,no_symbol_match,
PCFV4,B3,Stock,POCOS DE FERVEDOURO S.A.,,,,,,,,no_symbol_match,
PLFS3,B3,Stock,POLO FILMS INDUSTRIA E COMERCIO SA,,,,,,,,no_symbol_match,
PLSP3,B3,Stock,PLASCORP PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
PMSP13B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,,,,,,,,no_symbol_match,
PMSP14B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,,,,,,,,no_symbol_match,
PPAR3,B3,Stock,POLPAR S.A.,,,,,,,,no_symbol_match,
PRMN3B,B3,Stock,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,,,,,,,,no_symbol_match,
PRVA3,B3,Stock,PRIVALIA BRASIL S.A.,,,,,,,,no_symbol_match,
PTBP4,B3,Stock,PORTOBELLO PARTICIPACOES CERAMICAS S.A.,,,,,,,,no_symbol_match,
PTSL3,B3,Stock,PORTOSUL PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
PTSL4,B3,Stock,PORTOSUL PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
QVQP3,B3,Stock,524 PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
RBNS3,B3,Stock,RODOBENS S.A,,,,,,,,no_symbol_match,
RBNS4,B3,Stock,RODOBENS S.A,,,,,,,,no_symbol_match,
REFC4,B3,Stock,REFINADORA CATARINENSE S.A.,,,,,,,,no_symbol_match,
RFAG3,B3,Stock,REDE FEDERAL ARMAZENS GERAIS FERROV. S/A,,,,,,,,no_symbol_match,
RHED4,B3,Stock,RHEDE TECNOLOGIA S.A.,,,,,,,,no_symbol_match,
RIBC8,B3,Stock,RIBEIRO CORDEIRO IND E COMERCIOS.A.,,,,,,,,no_symbol_match,
RIOS3,B3,Stock,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,,,,,,,,no_symbol_match,
RIVA3,B3,Stock,RIVA 9 EMPREENDIMENTOS IMOBILIÁRIOS S.A.,,,,,,,,no_symbol_match,
RJSA3,B3,Stock,RJS S.A.,,,,,,,,no_symbol_match,
RNPT4,B3,Stock,RENNER PARTICIPACOES S.A.,,,,,,,,no_symbol_match,
ROOS12,B3,Stock,ROOSTER S.A. INDUSTRIA DE EQUIPAMENTOS,,,,,,,,no_symbol_match,
RSAN3,B3,Stock,CIA RIOGRANDENSE DE SANEAMENTO,,,,,,,,no_symbol_match,
RSAN4,B3,Stock,CIA RIOGRANDENSE DE SANEAMENTO,,,,,,,,no_symbol_match,
RVEE3,B3,Stock,REVEE S.A.,RVEE3,Revee S.A.,,,Amusement and Recreation Services,,,no_update,https://stockanalysis.com/quote/bvmf/RVEE3/
SANY6,B3,Stock,SANYO DA AMAZONIA S.A.,,,,,,,,no_symbol_match,
SDRM3,B3,Stock,CIA SIDERURGICA DA AMAZONIA - SIDERAMA,,,,,,,,no_symbol_match,
SDRM6,B3,Stock,CIA SIDERURGICA DA AMAZONIA - SIDERAMA,,,,,,,,no_symbol_match,
SILO3,B3,Stock,CIA DE ARMAZENS E SILOS DO EST MG-CASEMG,,,,,,,,no_symbol_match,
SILO4,B3,Stock,CIA DE ARMAZENS E SILOS DO EST MG-CASEMG,,,,,,,,no_symbol_match,
SPCI6,B3,Stock,SOCIEDADE DE PARTICIP. CIMENTEIRAS S.A.,,,,,,,,no_symbol_match,
SPCR3,B3,Stock,SPE CRISTINA S.A.,,,,,,,,no_symbol_match,
STAL6,B3,Stock,SETAL TELECOM S.A.,,,,,,,,no_symbol_match,
STOK3,B3,Stock,ESTOK COMERCIO E REPRESENTACOES S.A.,,,,,,,,no_symbol_match,
SULG3,B3,Stock,COMPANHIA DE GÁS DO ESTADO DO RIO GRANDE DO SUL,,,,,,,,no_symbol_match,
SVPH7,B3,Stock,SALVADOR PRAIA HOTEL S.A.,,,,,,,,no_symbol_match,
TCQC3,B3,Stock,INDUSTRIA CARBOQUIMICA CATARINENSE S/A,,,,,,,,no_symbol_match,
TCQC4,B3,Stock,INDUSTRIA CARBOQUIMICA CATARINENSE S/A,,,,,,,,no_symbol_match,
TRBR3,B3,Stock,TRANSBRASIL S.A. LINHAS AEREAS,,,,,,,,no_symbol_match,
TRBR4,B3,Stock,TRANSBRASIL S.A. LINHAS AEREAS,,,,,,,,no_symbol_match,
TREG3,B3,Stock,TANGARA ENERGIA S.A.,,,,,,,,no_symbol_match,
TVIT3,B3,Stock,"TIVIT TERC. DE PROC., SERV. E TEC. S.A.",,,,,,,,no_symbol_match,
TXBZ5,B3,Stock,TBM - TEXTIL BEZERRA DE MENEZES S.A.,,,,,,,,no_symbol_match,
USAT4,B3,Stock,USATI PARTICIPACOES PORTUARIAS S.A.,,,,,,,,no_symbol_match,
VDMG3,B3,Stock,VEÍCULO DE DESESTATIZAÇÃO MG INVESTIMENTOS S.A.,,,,,,,,no_symbol_match,
VECF3,B3,Stock,VALEC - ENG.CONSTRUCOES E FERROVIAS S.A.,,,,,,,,no_symbol_match,
VLPN3,B3,Stock,ELETRICIDADE VALE PARANAPANEMA S.A.,,,,,,,,no_symbol_match,
VRGL3,B3,Stock,GOL LINHAS AEREAS S.A,,,,,,,,no_symbol_match,
WIRE3,B3,Stock,WIREX CABLE S.A.,,,,,,,,no_symbol_match,
WNBR3,B3,Stock,W2W E-COMMERCE DE VINHOS S.A.,,,,,,,,no_symbol_match,
XPML13,B3,Stock,XP MALLS FDO INV IMOB FII RESP LIM,,,,,,,,no_symbol_match,
YOUC3,B3,Stock,YOU INC INCORPORADORA E PARTICIPAÇÕES S.A.,,,,,,,,no_symbol_match,
0A2T,LSE,Stock,High Templar Tech Limited,0A2T,High Templar Tech Limited,US7477981069,,Personal Credit Institutions,,,no_update,https://stockanalysis.com/quote/lon/0A2T/
0A2Y,LSE,Stock,"Telefónica, S.A.",0A2Y,"Telefónica, S.A.",US8793822086,,Radiotelephone Communications,,,no_update,https://stockanalysis.com/quote/lon/0A2Y/
0A90,LSE,Stock,0A90,,,,,,,,no_symbol_match,
0AAE,LSE,Stock,AutoStore Holdings Ltd.,0AAE,AutoStore Holdings Ltd.,BMG0670A1099,,"General Industrial Machinery and Equipment, Not Elsewhere",,,no_update,https://stockanalysis.com/quote/lon/0AAE/
0AAR,LSE,Stock,INTERCOS SPA INTERCOS ORD SHS,0AAR,Intercos S.p.A.,IT0005455875,,"Perfumes, Cosmetics, and Other Toilet Preparations",,,no_update,https://stockanalysis.com/quote/lon/0AAR/
0AB5,LSE,Stock,Iveco Group N.V.,0AB5,Iveco Group N.V.,,,Motor Vehicles and Passenger Car Bodies,,,no_update,https://stockanalysis.com/quote/lon/0AB5/
0AB7,LSE,Stock,Technoprobe S.p.A.,0AB7,Technoprobe S.p.A.,IT0005482333,,Semiconductors and Related Devices,,,no_update,https://stockanalysis.com/quote/lon/0AB7/
0ABE,LSE,Stock,Ariston Holding N.V.,0ABE,Ariston Holding N.V.,NL0015000N33,,Industrial and Commercial Fans and Blowers and Air Purification Equipment,,,no_update,https://stockanalysis.com/quote/lon/0ABE/
0ABP,LSE,Stock,NOVEM GROUP SA NOVEM GROUP ORD SHS,0ABP,Novem Group S.A.,LU2356314745,,Motor Vehicle Parts and Accessories,,,no_update,https://stockanalysis.com/quote/lon/0ABP/
0AC9,LSE,Stock,DSM-Firmenich AG,0AC9,DSM-Firmenich AG,,,Chemicals and Allied Products,,,no_update,https://stockanalysis.com/quote/lon/0AC9/
0ADF,LSE,Stock,ARM Holdings,0ADF,Arm Holdings plc,US0420682058,,Semiconductors and Related Devices,,,no_update,https://stockanalysis.com/quote/lon/0ADF/
0E1Y,LSE,Stock,Chargeurs,0E1Y,Compagnie Chargeurs Invest,FR0000130692,,Conglomerates,,,no_update,https://stockanalysis.com/quote/lon/0E1Y/
0EGH,LSE,Stock,Fiera Milano S.p.A.,0EGH,Fiera Milano S.p.A.,,,"Business Services, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0EGH/
0GA3,LSE,Stock,Telecom Italia S.p.A. RNC,,,,,,,,no_symbol_match,
0HZC,LSE,Stock,Eurazeo,0HZC,Eurazeo SE,FR0000121121,,"Investors, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0HZC/
