source_id,source_key,provider,source_url,authority_level,reference_scope,license_status,license_name,license_url,derived_facts_redistribution_status,raw_redistribution_allowed,attribution_required,commercial_use_status,terms_version,terms_sha256,license_reviewed_at,freshness_sla_days,enabled
d5727811-3102-5d38-b5a1-63c23f9e1fda,adx_market_watch,ADX,https://www.adx.ae/english/pages/marketwatch.aspx,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
8f1bbf87-cd0f-519e-ae81-473211f935b7,asx_investment_products,ASX,https://www.asx.com.au/issuers/investment-products/asx-funds-statistics,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
93ed1e12-6421-5e8d-aefe-4490448f60e9,asx_listed_companies,ASX,https://www.asx.com.au/asx/research/ASXListedCompanies.csv,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
ca83e636-c1a4-568b-92a0-4beb2ceff1b0,athex_sector_classification,ATHEX,https://www.athexgroup.gr/documents/10180/5517704/ATHEX%2BClassification%2BVer0.810%2B%28EN%29.pdf/5c49a27d-1078-4974-990b-5a5e1f278b73,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
551da0fd-27de-5cb2-a6b8-5422c51b277f,b3_bdr_etfs,B3,https://sistemaswebb3-listados.b3.com.br/listedCompaniesProxy/CompanyCall/,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
82579f60-3766-5113-abe0-7f6dbbab14c9,b3_instruments_equities,B3,https://arquivos.b3.com.br/bdi/table/InstrumentsEquities,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
4added99-1b92-5c48-b405-8dd53dae48c6,b3_listed_etfs,B3,https://sistemaswebb3-listados.b3.com.br/fundsListedProxy/Search/,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
61011a63-df09-53dd-9f75-633b373181c3,bahrain_bourse_listed_companies,Bahrain Bourse,https://bahrainbourse.com/en/Bahrain%20Clear/ISINCodes,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
8692da72-2d8a-5beb-8282-7a6e08e402f2,bist_kap_mkk_listed_securities,KAP/MKK,https://www.kap.org.tr/tr/bist-sirketler,official,exchange_directory,verified_restricted,KAP Copyright and Disclaimer Notice,https://www.kap.org.tr/en/icerik/Diger/copyright-and-disclaimer-notice,restricted,false,required,restricted,kap-en-copyright-and-disclaimer-notice,0baea35ae5f15e35143a9259df37a0cf00352c6e00ee25498686526d07684119,2026-08-20T18:05:00Z,7,true
76b4d171-cd18-54c2-b4ea-4e3b3930327d,bme_etf_list,BME,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
