venue_id,exchange_code,operating_mic,segment_mic,canonical_name,country_code,status
f3a15340-16d1-503c-b0b8-124faf391f0f,TSXV,XTSX,,TSX Venture Exchange,CA,active
c18fc6ca-ba50-5100-b91c-e02b2dff1fe3,TWSE,XTAI,,Taiwan Stock Exchange,TW,active
e13b0f4c-9e3e-5784-b99d-4e4f0931b1e8,UPCOM,HSTC,,HNX UPCoM,VN,active
ef875482-70e7-51ab-828f-07d9e1bfaad5,USE_UG,XUGA,,Uganda Securities Exchange,UG,active
0a71d313-5db4-51c0-abd7-340034101ee8,VSE,XWBO,,Wiener Boerse,AT,active
04fcc7f8-4dbb-5d84-8e82-bf25b4b1c873,WSE,XWAR,,Warsaw Stock Exchange,PL,active
1231aa2e-0ad6-5892-a304-11fc14be33f8,XDUS,XDUS,,Boerse Duesseldorf,DE,active
e8866574-1f77-5796-9ee1-2fffb6aa3e67,XETRA,XETR,,Xetra,DE,active
cb1329b3-ae56-590d-81db-0054f90eb6e1,XHAM,XHAM,,Hamburger Boerse,DE,active
e836056c-85b0-5163-ae86-1f361f71fe97,XHAN,XHAN,,Niedersaechsische Boerse zu Hannover,DE,active
523839c4-35a9-5582-a77a-be83d371b6fa,XSTU,XSTU,,Boerse Stuttgart,DE,active
f0343158-da33-5eba-bd13-c61be6756dc1,ZSE,XZAG,,Zagreb Stock Exchange,HR,active
d33009f3-6da1-586e-945f-ef06a483560b,ZSE_ZW,XZIM,,Zimbabwe Stock Exchange,ZW,active
